u260,16,HIPK2
u261,16,Aurora B
u262,16,HIPK3
u263,16,p38 beta MAPK
u264,16,Lck
u265,16,Aurora C
u266,16,MNK2
u267,16,RSK1
u268,16,Src
u269,16,DYRK3
u270,17,NEK2a
u271,17,PLK1
u272,17,MELK
u273,17,PKD1
u274,17,CAMKK beta
u275,17,SmMLCK
u276,17,IGF-1R
u277,17,CLK2
u278,17,EIF2AK3
u279,17,CHK2
u280,17,RSK2
u281,17,CK1 delta
u282,17,PHK
u283,17,RSK1
u284,17,HIPK2
u285,17,Lck
u286,17,NEK6
u287,17,IRAK4
u288,17,CAMK1
u289,18,RSK1
u290,18,RSK2
u291,18,PLK1
u292,18,MELK
u293,18,PIM3
u294,18,MST4
u295,18,VEGFR1
u296,18,Aurora A
u297,18,Aurora B
u298,18,MLK3
u299,18,PIM1
u300,18,MST2
u301,18,MINK1
u302,18,GCK
u303,18,TAO1
u304,18,TrkA
u305,18,CAMKK beta
u306,18,NUAK1
u307,18,TAK1
u308,18,CLK2
u309,18,PAK4
u310,18,MLK1
u311,18,JAK2
u312,18,FGF-R1
u313,18,IR
u314,18,IGF-1R
u315,18,HIPK2
u316,18,TIE2
u317,18,CDK2-Cyclin A
u318,18,STK33
u319,18,IRR
u320,18,GSK3 beta
u321,18,BRSK2
u322,18,YES1
u323,18,MKK2
u324,18,MARK4
u325,18,TBK1
u326,18,DYRK3
u327,18,PAK5
u328,18,TTK
u329,18,IKK epsilon
u330,18,MARK3
u331,18,IRAK4
u332,18,CK1 delta
u333,18,MARK1
u334,18,Lck
u335,18,PAK6
u336,18,PKC alpha
u337,18,SYK
u338,18,MARK2
u339,18,ERK8
u340,18,ABL
u341,18,S6K1
u342,18,ERK1
u343,18,BRSK1
u344,18,EPH-B3
u345,18,PKC gamma
u346,18,DYRK2
u347,18,BTK
u348,18,SmMLCK
u349,18,DYRK1A
u350,18,MKK1
u351,18,EPH-B2
u352,18,LKB1
u353,19,SGK1
u354,19,PDK1
u355,19,PHK
u356,19,ERK8
u357,19,MST2
u358,19,BTK
u359,19,FGF-R1
u360,19,SYK
u361,19,VEGFR1
u362,19,HIPK2
u363,19,Lck
u364,19,S6K1
u365,19,CHK2
u366,19,CDK2-Cyclin A
u367,19,MELK
u368,19,YES1
u369,19,Src
u370,19,PIM3
u371,19,AMPK
u372,19,CAMKK beta
u373,19,IGF-1R
u374,19,TBK1
u375,19,RSK1
u376,19,MSK1
u377,19,CAMK1
u378,19,PAK4
u379,19,GSK3 beta
u380,19,IKK epsilon
u381,19,CHK1
u382,19,PAK5
u383,19,MARK3
u384,19,EPH-A2
u385,19,MST4
u386,19,BRSK2
u387,19,NEK6
u388,19,TrkA
u389,19,SmMLCK
u390,19,ROCK 2
u391,19,DYRK1A
u392,19,PIM2
u393,19,BRSK1
u394,19,MLK3
u395,19,IRR
u396,19,CSK
u397,19,IR
u398,19,PAK6
u399,19,PIM1
u400,19,PRAK
u401,19,PKB beta
u402,19,PKC alpha
u403,19,EPH-B3
u404,19,PKA
u405,19,p38 beta MAPK
u406,19,DYRK2
u407,19,MAPKAP-K2
u408,19,MKK1
u409,19,CK1 delta
u410,19,RSK2
u411,19,PLK1
u412,19,ERK1
u413,19,p38 gamma MAPK
u414,19,PRK2
u415,19,JNK2
u416,19,PKC zeta
u417,19,JNK1
u418,19,DYRK3
u419,19,MLK1
u420,19,MNK2
u421,19,Aurora A
u422,20,p38 alpha MAPK
u423,20,JNK2
u424,20,p38 beta MAPK
u425,20,VEGFR1
u426,20,RSK1
u427,20,p38 gamma MAPK
u428,20,FGF-R1
u429,20,p38 delta MAPK
u430,20,BRSK2
u431,20,RSK2
u432,22,IKK beta
u433,22,ERK8
u434,22,NUAK1
u435,22,DYRK2
u436,23,IKK epsilon
u437,23,Aurora B
u438,23,TBK1
u439,23,Aurora C
u440,23,PDK1
u441,23,MARK3
u442,23,MELK
u443,23,AMPK
u444,23,FGF-R1
u445,23,ERK8
u446,23,CAMKK beta
u447,23,GSK3 beta
u448,23,BRSK2
u449,23,PAK4
u450,23,MKK1
u451,23,MNK2
u452,23,CHK1
u453,23,CDK2-Cyclin A
u454,23,RSK1
u455,23,PAK5
u456,23,Src
u457,23,RSK2
u458,23,Lck
u459,23,PRK2
u460,23,DYRK3
u461,23,p38 beta MAPK
u462,23,SGK1
u463,23,CHK2
u464,23,PKD1
u465,23,CAMKK alpha
u466,24,CHK2
u467,24,MKK1
u468,24,ERK8
u469,24,AMPK
u470,24,MELK
u471,24,MST2
u472,24,BRSK2
u473,24,VEGFR1
u474,24,MARK3
u475,24,PHK
u476,24,DYRK2
u477,24,FGF-R1
u478,24,RSK2
u479,24,PDK1
u480,24,CHK1
u481,24,RSK1
u482,24,PIM3
u483,24,PKD1
u484,24,DYRK3
u485,24,PRK2
u486,24,YES1
u487,24,TBK1
u488,24,IRR
u489,24,GSK3 beta
u490,25,CHK2
u491,25,PDK1
u492,25,PHK
u493,25,MELK
u494,25,DYRK2
u495,25,MST2
u496,25,MKK1
u497,25,ERK8
u498,25,SmMLCK
u499,25,CHK1
u500,25,DYRK3
u501,25,HIPK2
u502,25,Src
u503,25,FGF-R1
u504,25,IGF-1R
u505,25,VEGFR1
u506,25,PIM1
u507,25,PKD1
u508,25,GSK3 beta
u509,25,MARK3
u510,25,Lck
u511,25,YES1
u512,25,ERK1
u513,25,AMPK
u514,25,PRK2
u515,25,RSK1
u516,25,IRR
u517,25,SGK1
u518,25,CDK2-Cyclin A
u519,25,TBK1
u520,25,ROCK 2
u521,25,PIM3
u522,25,SYK
u523,25,PRAK
u524,25,PIM2
u525,25,PAK5
u526,25,BTK
u527,25,BRSK2
u528,25,MAPKAP-K2
u529,25,DYRK1A
u530,25,IKK epsilon
u531,25,S6K1
u532,25,ERK2
u533,25,MNK2
u534,25,JNK2
u535,25,MST4
u536,25,PLK1
u537,25,CAMK1
u538,25,CK1 delta
u539,25,EPH-A2
u540,25,PKC zeta
u541,25,CK2
u542,25,p38 delta MAPK
u543,25,RSK2
u544,25,IKK beta
u545,25,IR
u546,25,PKC alpha
u547,25,NEK2a
u548,25,PAK4
u549,25,MSK1
u550,25,MNK1
u551,25,PKA
u552,25,CAMKK beta
u553,25,PKB beta
u554,25,SRPK1
u555,25,NEK6
u556,25,PAK6
u557,25,CSK
u558,25,p38 alpha MAPK
u559,25,JNK1
u560,25,p38 beta MAPK
u561,26,CDK2-Cyclin A
u562,26,BRSK2
u563,26,IKK epsilon
u564,26,PDK1
u565,26,PRK2
u566,26,MNK1
u567,26,Aurora B
u568,26,AMPK
u569,26,TAK1
u570,26,MKK1
u571,26,ERK8
u572,26,ROCK 2
u573,26,PKD1
u574,26,PHK
u575,26,CHK1
u576,26,CHK2
u577,26,Aurora C
u578,26,MARK3
u579,26,FGF-R1
u580,26,TBK1
u581,26,Aurora A
u582,26,MLK3
u583,26,JAK2
u584,26,GSK3 beta
u585,26,RSK1
u586,26,MELK
u587,26,DYRK3
u588,26,ERK1
u589,26,MARK2
u590,26,MLK1
u591,26,ERK2
u592,26,S6K1
u593,26,MNK2
u594,26,PAK4
u595,26,SYK
u596,26,DYRK2
u597,26,NEK2a
u598,26,NUAK1
u599,26,SGK1
u600,26,MARK1
u601,26,VEGFR1
u602,26,MARK4
u603,26,PKA
u604,26,PKC alpha
u605,26,CAMKK beta
u606,26,Src
u607,26,IRR
u608,26,GCK
u609,26,RSK2
u610,26,YES1
u611,26,CAMK1
u612,26,MST4
u613,26,CLK2
u614,26,HIPK2
u615,26,Lck
u616,26,MST2
u617,26,PAK5
u618,26,JNK1
u619,26,PAK6
u620,26,JNK2
u621,26,p38 gamma MAPK
u622,26,PIM3
u623,26,IRAK4
u624,26,MSK1
u625,26,p38 delta MAPK
u626,26,TrkA
u627,26,MEKK1
u628,26,HIPK3
u629,26,BRSK1
u630,26,DYRK1A
u631,26,JNK3
u632,26,CK2
u633,26,DAPK1
u634,26,IKK beta
u635,26,PRAK
u636,26,PKB alpha
u637,28,CK1 delta
u638,28,MNK1
u639,28,BRSK2
u640,28,Aurora B
u641,28,MKK1
u642,28,PIM3
u643,28,Lck
u644,28,YES1
u645,28,ERK8
u646,28,ERK1
u647,28,CHK1
u648,28,CDK2-Cyclin A
u649,28,MNK2
u650,28,Src
u651,28,EPH-A2
u652,28,PHK
u653,28,DYRK2
u654,28,FGF-R1
u655,28,PIM1
u656,28,PDK1
u657,28,DYRK3
u658,28,IRR
u659,28,CHK2
u660,28,RSK1
u661,28,SGK1
u662,28,RSK2
u663,28,MST2
u664,28,Aurora C
u665,28,MARK3
u666,31,MLK3
u667,31,MINK1
u668,31,NEK6
u669,31,VEGFR1
u670,31,CAMK1
u671,31,MLK1
u672,31,NEK2a
u673,31,TIE2
u674,31,IKK beta
u675,31,IKK epsilon
u676,31,HIPK3
