KS ID,UID,Kinase
212,359,CDK2
212,361,CDK6
212,357,ERK1
212,360,ERK2
213,363,CDK1
213,364,CDK2
213,366,CDK6
213,362,ERK1
213,365,ERK2
214,367,CDK1
215,368,AurA
215,369,AurB
216,370,AurA
216,371,AurB
217,372,CDK4
218,373,PAK1
219,374,Pim1
220,375,Pim1
221,376,Pim1
222,377,Pim1
223,378,ERK1
224,379,ERK1
225,380,ERK1
226,381,ERK1
227,383,Akt1
227,384,Akt1
227,382,ERK1
228,385,ERK1
229,386,ERK1
230,387,ERK1
231,388,ERK1
232,389,CDK1
233,390,JNK1
234,391,Akt1
234,392,Akt1
235,393,Akt1
235,394,Akt1
236,395,Akt1
236,396,Akt1
237,397,PKCI
238,398,PKCI
239,399,PKCI
240,400,LATS2
241,401,mTOR
242,402,LATS2
243,403,FGFR1
244,404,CK2A1
245,405,CK2A1
246,406,CDK1
246,407,CDK5
247,408,CDK1
247,409,CDK5
248,410,CDK1
248,411,CDK5
249,412,DYRK1A
250,413,DYRK1A
251,414,DYRK1A
252,415,DYRK1A
253,416,AMPKA1
254,417,AMPKA1
255,418,AMPKA1
255,419,GSK3B
256,423,Akt1
256,424,Akt1
256,420,AMPKA1
256,421,PKCA
256,422,PKCB
257,425,AMPKA1
257,432,BRSK1 iso2
257,427,BRSK2
257,429,CAMK2B
257,426,CAMKK1
257,431,CAMKK2
257,428,LKB1
257,430,MLK3
258,433,AMPKA1
259,434,GSK3B
260,436,CAMKK2
260,435,TAK1
261,437,Fyn
262,438,AMPKA1
263,439,AMPKA1
264,440,AMPKA1
265,441,AMPKA1
266,442,AMPKA1
267,443,AMPKA1
268,444,AMPKA1
269,445,CK2A1
270,446,CDK2
271,447,Chk1
272,448,CDK2
273,449,CDK2
274,450,CDK2
274,451,mTOR
275,452,mTOR
276,453,Akt2
277,454,CAMK2D
278,455,GSK3A
279,456,CK2A1
280,457,CK2A1
281,458,CK2A1
282,459,PKACA
283,460,PKACA
284,462,Abl
284,463,EGFR
284,461,Src
285,464,ChaK1
286,465,PKCA
286,466,PKCB
287,467,PKCA
288,469,IGF1R
288,468,Src
289,470,PKCA
289,471,PKCB
290,472,PKCA
291,473,CK2A1
292,474,AMPKA2
293,475,PKACA
294,476,PRKD1
295,477,PRKD1
296,478,Src
297,479,AAK1
298,480,p90RSK
299,481,p90RSK
300,482,mTOR
301,483,mTOR
302,484,CK1E
303,485,CK1E
304,488,CK1A
304,487,CK1D
304,486,CK1G1
305,491,CK1A
305,490,CK1D
305,489,CK1G1
306,494,CK1A
306,493,CK1D
306,492,CK1G1
307,497,CK1A
307,496,CK1D
307,495,CK1G1
308,498,GSK3B
309,499,GSK3B
310,500,CDK2
311,501,CDK1
311,502,PLK1
312,503,CDK1
312,504,PLK1
313,505,CDK1
313,506,PLK1
314,507,CDK1
315,508,CDK1
315,509,PLK1
316,510,CDK1
316,511,PLK1
317,512,CDK1
317,513,PLK1
318,514,CDK1
319,515,CDK1
319,516,PLK1
320,517,CDK1
