Gene.Name,GSM997591,GSM997592,GSM997593,GSM997594,GSM997595,GSM997596,GSM997597,GSM997598,GSM997599,GSM997600,GSM997601,GSM997602,GSM997603,GSM997604,GSM997605,GSM997606,GSM997607,GSM997608,GSM997609,GSM997610,GSM997611,GSM997612,GSM997613,GSM997614,GSM997615,GSM997616,GSM997617,GSM997618,GSM997619,GSM997620,GSM997621,GSM997622,GSM997623,GSM997624,GSM997625,GSM997626,GSM997627,GSM997628,GSM997629,GSM997630,GSM997631,GSM997632,GSM997633,GSM997634,GSM997635,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
SERPINB8,-0.037858486000000004,-1.052609,-0.17456818,0.21516275,-0.14944983,0.11849260000000002,0.0,-0.14595175,-0.109883785,-0.68499136,-0.4328065,-1.2668423999999998,-1.0868363,-1.0223756,0.09151983,-0.25791788,-0.5335741,-0.6253481,-0.6808367,-0.09274721,-0.5868659,-1.1158976999999999,-0.9359784,-0.31087446,-0.42320585,1.0622973,-0.7436075,-0.20292568,0.26707745,-0.9048605,-1.2109714,-0.8672023000000001,-1.1395965000000001,-0.8092866,-0.6859951,1.212153,-0.36083126,-0.27293348,-1.1103348999999998,-0.8111863,-0.7911353,-0.76732016,-0.7236166,-1.2115989,-0.5914545,1.2423396,1.6378121,1.112783,2.0383506000000002,1.4387755,2.1222043,1.1775212,1.5862593999999999,1.0794892,1.5745368,1.6409554,1.0207438,0.57915545,1.9741445,0.9512911000000001,1.3316816999999999,1.2560886999999998,1.6000618999999998,1.5488476999999998,1.9497714,1.6879343999999998,1.49371,1.5286441000000002,1.9069151999999998,0.97423124,0.13838434,1.9243407,2.2761044999999998,1.3340735000000001,0.87757254,1.6449818999999999,2.0311055000000002
SERPINB9,0.38595772,0.44462442,0.77780056,0.81403255,0.881093,1.4012828000000002,1.379364,1.220963,2.5065417,0.46651888,0.28289843,0.6798272,-0.9538679,0.33028793,1.5201988000000002,0.20039749,-1.2150268999999998,-0.036785603,0.32637978,0.13033676,0.42481136,1.2774486999999999,0.0,-0.16840553,-0.16163635,0.45197296,-0.91132593,0.06168747,-0.55886936,-0.08848715,1.5154533000000001,0.81018066,-0.02665472,-0.14701033,-0.80280447,0.6925278,-0.83687496,0.8081875,-1.2610335,2.306476,2.6828265,1.6921921000000002,0.9714985,1.6440386999999999,1.5695581,-0.26227522,-0.120229244,-0.19492197,1.2074604,-0.1561122,-0.14692497,0.032405376,-0.5021696,-0.42080736,0.032092094,-0.08625221,-0.18049192,-0.40967798,-0.18932772,0.22794485,-0.38691282,-0.49801540000000005,-0.18519878,-0.10602522,-0.19897175,-0.28619623,-0.27621603,-0.018310547,0.12402344,-0.6017823,-0.36947298,-0.4082117,0.2384243,-0.45072890000000004,0.42267559999999993,-0.31688452,-0.14634228
SERPIND1,-0.15129924,0.0,0.0,0.0,-0.2329278,-0.041621447,0.15777326,-0.10218024,0.8772578000000001,-0.5223899000000001,-0.32162547,-0.82052374,-0.080219746,-0.28867388,-0.15902638,-0.31373215,-0.42655158,-0.010339975,-0.19960642,-0.34592724,0.07522726,0.004492044000000001,-0.12941456,-0.27861214,0.25936222,-0.047273874,-0.019775629,-0.2263732,-0.50595117,0.44975042,-0.3672824,-0.41132712,-0.42790318,-0.3114078,-0.2565868,-0.08403921,-0.7379277,-0.35364604,-0.13844085,0.19598007,0.15867925,0.21530247,0.37185764,2.0119279999999997,0.3317113,0.13645673,0.3195958,0.17533231,0.032987833,0.17428756,0.15849471,-0.19891477,0.34690046,0.16428351,-0.027916431000000002,0.39715815,0.12799478,0.040755272,0.04779744,0.19194293,-0.26124525,0.10778165,0.3154397,0.01480341,0.11953616,0.08066749599999999,0.003657579,-0.026848793,0.29112816,0.18424129999999997,-0.3033843,0.201128,0.02897811,-0.025060177000000003,0.32517767,-0.12099099,0.44580793
SERPINE2,0.0850451,0.3995788,-0.10747743,0.085929155,0.1754775,-0.111886024,0.7557976,0.35452056,-0.270602,0.13797617,0.54903674,0.002453804,-0.13627148,-0.0014448170000000001,0.122710705,0.23803258,-0.20708966,-0.1581235,-0.16302872,0.024369717000000003,-0.0744884,-0.23413253,-0.31696486,0.0,0.5167744000000001,0.27560854,-0.16865087,-0.11188507,-0.063522816,-0.28747487,-0.04459548,0.014367818999999999,-0.058419942999999995,-0.079419374,0.28759146,-0.117752075,-0.1713655,-0.26283383,0.08448005,-0.41347957,-0.37872934,-0.5122609,-0.33818388,-0.06843424,0.012805938999999999,0.14498258,-0.043272495,0.02664733,0.32711792,0.12925530000000002,0.1715231,-0.018831015,0.5448525,0.22801375,0.13265777,-0.004720925999999999,0.06029892,0.09131074,0.047838688,0.12301993,-0.041647196000000004,-0.16150737,-0.10501456,0.12182259599999999,-0.17058325,0.014367818999999999,0.17601323,-0.030168772000000003,-0.07949829,0.13828683,0.34298850000000003,0.15514708,-0.087899685,0.12286472,0.021248579,-0.15458655,-0.093375206
SERPINF1,-0.2876916,-0.589571,-0.89371157,-0.59924746,-0.5904999,0.48785973,-0.12691593,0.56600094,3.2483382,3.784164,-0.47633982,2.4724412,2.0696197,3.9412722999999996,-1.1487355,3.6688685,3.2297254,4.716974,3.8340926,4.2084269999999995,2.4772105,3.3836055,4.179868,5.0458665,1.2599072,1.6333766,0.0,2.1355586,1.6173167,1.3516946,2.724093,3.6388278,4.2870984000000005,4.2336335,4.664899299999999,1.6195073,0.6417241,3.565352,4.1200957,0.1627574,1.2567506000000002,0.5602621999999999,0.62432766,-0.59626675,1.2802566999999998,-1.5245408999999999,-0.97060966,-1.0315957,-2.5157738,-1.1852631999999999,-1.2709274,-1.909605,-1.1666292999999999,-1.2448931,-0.64081717,-0.20029593,1.4003633999999998,-2.3042067999999998,-1.7866831000000003,-1.4572243999999999,-0.88655615,-0.23196839999999996,-1.4300523,-1.3040261,-1.703948,-1.2172604,-1.8589716,1.7206254,-1.1241264,-1.5212874,1.4999623,-0.4045477,-0.31517792,-1.6537018,-0.1641798,-1.0739336000000002,-0.37336016
SERPING1,0.09095383,-0.055459022999999996,0.050985336,0.21979809,0.59434986,-0.3853531,-0.9122790999999999,0.59709835,0.41758249999999997,1.4903773999999999,-2.0737915,1.3047723999999998,-0.21860695,1.3836088,-1.6450547999999998,1.4142294,1.8944292,2.3307667000000003,2.1942387,1.6243305000000001,0.46652985,1.2739115,1.6286001,2.3782997000000003,0.99473953,-0.26012135,-0.2503376,1.4000196000000003,0.41284943,-0.5201683,0.44125652,1.9709806,1.7774715,1.6822853,2.22649,0.0,0.00034700000000000003,1.7755508000000002,1.2064142,2.3068732999999995,2.5781326,2.6478462000000005,2.5846872000000003,2.4194965,2.515461,-0.57712555,-0.06504536,-1.3836231,0.06617069,-1.7451333999999998,-2.0551758,0.27838612,-2.9443312,-0.8479214,0.12918377,-0.59345245,-0.6515598000000001,-2.175589,-2.0427036,-2.2577605,-2.7693237999999996,-0.7688216999999999,-1.8834313999999999,-0.39658642,-1.3367262,-1.1733704,-3.4951595999999996,-0.5189638,-1.3583927,-1.6760758999999998,-0.43590736,-2.0313845,-0.9499998,-0.2632265,-1.0862036,-0.8181114,-1.5799456
SERPINI1,-1.4689444999999999,-1.9216394,-1.0893921999999998,-0.87684727,-1.3998336999999998,-1.442524,-1.0408096,-1.0800128,3.3814763999999995,0.23885298,-1.9311714,0.7457228,1.0638094,1.4600438999999998,-1.2551293,-1.2727242,2.3807554,1.2646073999999998,1.1867709,0.109381676,1.1992783999999999,-1.5509443,1.3554926,2.1003752,-0.26445913,0.5624418000000001,1.2207803999999998,1.9501828999999997,1.1680621999999998,0.8713546,-2.602449,1.0227818000000002,1.56318,1.1754565000000001,1.1617904,0.9239545,1.9119825000000001,2.486802,1.3155088,0.8984184000000001,1.3221483,1.4231042999999999,1.1846204,0.7473998000000001,1.0883541,-1.1735125,-0.3232875,-1.4483423,-1.6077127,-1.040494,-0.5422263,-1.1672653999999998,-0.25100803,-0.45024776,0.6642294,-0.98508596,0.0,-1.5150199,1.8040447,-0.64697456,-0.9638901,-0.8741183000000001,-1.4367571000000001,0.8668355999999999,-0.8920994000000001,-0.5680065,-0.17891693,0.8402767,-2.1909408999999997,1.2734537000000001,0.500772,-0.6184058000000001,-1.4991665,0.38885975,-0.8121939,-0.5687151,-1.0083466
SERPINI2,0.26707077,0.29698753,0.021226883,-0.20188236,0.15013027,0.21792793,-0.17215061,-0.14358091,-0.19520092,-0.33888292,-0.31080127,-0.30297565,-0.16411114,-0.28123259999999994,0.18614769,0.17540836,0.05255556,0.006192207,-0.035290718,-0.17248154,-0.05363798,-0.36982800000000005,-0.51387477,-0.29600406,-0.26451302,-0.09250449999999999,0.3194933,0.023753166000000003,-0.16985703,-0.11026573,-0.5160718,-0.26263165,-0.4876063,-0.9365691999999999,-0.53704786,0.045650482,0.40782833,-0.30297565,-0.09736633,-0.33061004,-0.30487537,-0.8201673,-0.5442159000000001,-0.14241505,-0.25646782,0.2704773,0.28209972,0.13310337,-0.059173584,-0.10456276,0.3108406,0.48146819999999996,0.35313130000000004,0.17459297,-0.04944849,-0.1148653,0.0,0.13454819,3.7011452000000005,0.1976757,0.042616844,0.09813213,0.5123186,2.0023437,2.4648466,0.5733670999999999,1.692709,0.51018524,0.15796947,1.6200093999999998,-0.060343742,0.6641979,0.38315678,2.7505990000000002,-0.22331905,0.8824396000000001,0.19162369
SFRP1,0.3420539,3.9597483,-0.43439627,0.96137285,2.5183516,0.3123784,0.34885309999999997,-0.5956421,-0.035381794,-1.2640319,-0.09909725,0.14858437,5.178814,-0.61090755,-0.68202305,0.0,3.1325092,2.6711245,3.307582,-0.30968332,0.9969505999999999,4.3167095,2.0203495,1.5594697,3.0279255000000003,0.8546065999999999,1.1339931,3.1930647,1.1636186000000002,3.9327477999999996,-0.287508,4.4984455,1.4031582,1.0806909,2.785612,0.9540911,1.705173,2.2940392000000003,0.56824636,3.2635307,5.001976,1.3582411,2.4209895,3.2143345,4.9554787000000005,-0.6909261,-0.70515776,-0.6539302,-0.8320198000000001,-0.99611807,-0.44858742,-0.9919181,-0.01115036,-0.6144185000000001,-0.3497157,-0.31494522,-0.16113806,0.35030937,-0.85603523,-0.019146442,-0.7069378000000001,-1.0971788999999998,-0.07771635,-0.4550333,-0.7161206999999999,-0.48564863,-1.1229733999999998,-0.6429539000000001,0.6844888000000001,-0.92003775,0.20705128,-0.38502264,-0.9231634,-0.9128518,-0.45243645,-1.2174382,-0.98244095
SLIT2,-1.767189,-0.6381693,-1.2689662,-0.49923944,-0.52799034,-0.7423506,-0.8079381,-1.3128757,1.4493403,1.7015271,-0.70334625,2.9769897000000003,-0.8934407,1.4930576999999998,-1.3124065,2.2071705,-0.01608944,2.620535,1.5675758999999998,1.7762221999999999,1.5014968,1.6814718000000002,1.4588408000000002,2.4760666000000002,1.2561521999999998,1.5651703000000001,-0.11362839,2.5674952999999996,-0.6390104,0.22546100000000002,0.5003624,0.05732441,0.9647969999999999,1.1569629,2.4688682999999996,1.3677421,0.0,3.24868,2.8911514,1.9834938000000002,2.3578606,2.3463783,2.3243494,2.3723202000000003,1.9760293999999998,-0.21768332,-1.0716305,-0.7245865,-1.0016851,-0.6858095999999999,-0.17779446,1.4440336,0.43439722,-1.2439322,-1.0716828999999999,-1.4227157,-0.85917664,0.94880915,-0.48856068,-1.1189046,-0.63038826,0.07837105,1.0242763000000001,-0.50344706,-0.7419872,-1.0944643,-1.1913767,-0.32950735,-0.89618015,-0.37310553,0.9404167999999999,0.31961584,-0.523335,-0.96446514,-1.1350126,-0.25873327,0.2706008
