Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ESPNP///ESPN,0.334475298,0.123401712,3.998154223,0.000146374,0.000427739,0.138328229
ESR1,0.519037782,0.445432235,3.205325911,0.001971575,0.004430212,-2.313472697
ESR2,0.283716325,0.202398181,3.133894662,0.002449015,0.005389142,-2.514793283
ESRP1,-1.741420688,0.118354846,-8.295007806,2.94E-12,4.88E-11,17.46841671
ESRRA,0.410678054,0.105626343,4.561837827,1.91E-05,6.80E-05,2.093394748
ESRRB,0.24772133,0.130993066,2.797077775,0.006524886,0.012975612,-3.415859153
ESRRG,-1.151740149,0.635168744,-3.820110788,0.000270232,0.000742805,-0.444868365
ESX1,0.070511717,0.045159207,0.903455316,0.369131027,0.446125342,-6.756474407
ESYT1,0.077247833,-0.05886206,0.491730699,0.62432301,0.689105981,-7.043750915
ESYT2,0.13338183,0.041514406,1.925597909,0.057884874,0.089747403,-5.342293289
ESYT3,-0.027936017,0.040575691,-0.449029217,0.654684809,0.716249872,-7.063922204
ETAA1,0.274483327,-0.05499164,1.528978644,0.130409736,0.18217183,-6.005833521
ETF1,0.165307081,0.127937517,0.833758855,0.40702239,0.484489208,-6.81684631
ETFA,0.401269721,-0.054139203,1.354957035,0.179433892,0.240232952,-6.251796606
ETFB,0.817742027,0.0078426,4.236278271,6.29E-05,0.000200261,0.944974092
ETFBKMT,0.446777496,0.233651938,3.87422386,0.000224666,0.000628753,-0.269487621
ETFDH,0.765483821,0.130204846,4.711872163,1.08E-05,4.08E-05,2.638986385
ETHE1,0.40495897,-0.0022673,2.470714493,0.015718181,0.028311073,-4.208763106
ETNK1,0.100151548,0.094748026,0.923945431,0.358430779,0.434896272,-6.737823531
ETNK2,-0.380394168,0.007142439,-4.294130186,5.11E-05,0.000166013,1.145326853
ETNPPL,0.076533267,0.108231003,0.960055225,0.340063317,0.415953317,-6.703960312
ETS1,0.391657311,0.093145226,2.679650565,0.009026425,0.017337384,-3.710538044
ETS2,0.102752263,0.18992356,0.885296569,0.37878132,0.45587931,-6.772660996
ETV1,4.309091636,0.640642095,11.68019517,1.18E-18,1.03E-16,32.04540525
ETV2,0.370941935,0.078035214,4.95842283,4.20E-06,1.74E-05,3.556072829
ETV3,-0.187202942,0.005070913,-2.096394834,0.039365609,0.06385919,-5.013913558
ETV4,-0.487779797,0.041384166,-5.358602261,8.62E-07,4.16E-06,5.09363301
ETV5,0.614072794,0.101827062,5.431698641,6.42E-07,3.19E-06,5.380417242
ETV6,0.266790857,0.111277413,2.319656676,0.023039133,0.039803497,-4.547494612
ETV7,0.327614888,0.126587502,2.751985613,0.007398788,0.014509617,-3.530240061
EVA1A,-0.627726946,-0.02855019,-5.096463106,2.45E-06,1.07E-05,4.079943329
EVA1B,1.646889241,0.307546019,11.57248918,1.86E-18,1.49E-16,31.59534724
EVA1C,0.89211574,-0.314865261,2.610249204,0.010888034,0.020453377,-3.879783979
EVC,0.863631367,0.095228667,5.065466793,2.76E-06,1.19E-05,3.961690034
EVC2,0.901648985,0.127163916,6.047616405,5.09E-08,3.27E-07,7.858846402
EVI2A,2.56242225,0.570244412,8.23502819,3.83E-12,6.19E-11,17.20648995
EVI2B,0.867182806,0.255760433,3.231973614,0.001816934,0.004117591,-2.237484269
EVI5,0.684303219,0.177629502,3.741691932,0.000352211,0.000943519,-0.696049452
EVI5L,0.278922512,0.101790436,3.580768341,0.000600513,0.001527123,-1.20015637
EVL,1.77186605,0.088718898,10.35617568,3.42E-16,1.51E-14,26.43330068
EVPL,-0.305657619,0.04809773,-2.472811566,0.015633226,0.028180896,-4.203932095
EVPLL,-0.341170213,0.000502871,-3.755070856,0.000336721,0.000906894,-0.65344781
EVX1,0.659685129,0.152731229,6.2080092,2.59E-08,1.77E-07,8.520099324
EWSAT1,-0.507761183,-0.037573858,-7.165819227,4.22E-10,4.31E-09,12.56783235
EWSR1,-0.467277832,0.127404968,-4.537415036,2.09E-05,7.37E-05,2.005523916
EXD1,-0.002246144,0.073488167,-0.027219017,0.978356194,0.984202679,-7.164952583
EXD2,-0.29623865,-0.002031511,-2.886522857,0.005065204,0.010328889,-3.184523514
EXD3,0.235047425,0.106601014,2.727313599,0.007921056,0.015410067,-3.592179474
EXO1,-0.919397285,0.034647758,-11.26598784,6.82E-18,4.81E-16,30.30791671
EXO5,0.226855277,0.055485738,1.798757636,0.076016034,0.114020454,-5.569765866
EXOC1,0.267519356,-0.130292143,1.059343232,0.292789292,0.366497908,-6.604332384
EXOC2,-0.32398786,-0.017967354,-2.363399914,0.020657953,0.036048404,-4.451296563
EXOC3,0.784478323,0.032327232,5.919100807,8.70E-08,5.24E-07,7.333347843
EXOC3-AS1,-0.317415166,0.044082886,-3.201065809,0.001997411,0.004482373,-2.325576438
EXOC3L1,0.240368871,0.078332697,2.612857766,0.010812198,0.02033018,-3.873489474
EXOC3L2,0.180102993,0.118820198,1.714116381,0.090571715,0.132905902,-5.713639131
EXOC3L4,0.127817117,0.077798327,1.438665562,0.154339382,0.210843195,-6.13699028
EXOC4,0.026554893,0.065612652,0.298541307,0.766102501,0.813512552,-7.12046825
EXOC5,-0.183511014,0.068017458,-1.650211024,0.103015287,0.148575497,-5.818011229
EXOC6,0.440738887,0.148340329,4.598936375,1.66E-05,6.00E-05,2.227382808
EXOC6B,0.119209654,0.001409287,2.291848011,0.024676449,0.042264172,-4.607839484
EXOC7,0.516645711,0.19251607,4.390600443,3.59E-05,0.000120617,1.483069409
EXOC8,0.1391822,-0.215953054,0.624871741,0.533921602,0.6060002,-6.9691948
EXOG,0.547429367,0.199141168,5.137625117,2.08E-06,9.20E-06,4.237521737
EXOSC1,0.42339369,0.095602698,5.112540385,2.30E-06,1.01E-05,4.141418002
EXOSC10,-0.45728591,-0.043387625,-5.686669475,2.27E-07,1.25E-06,6.39365959
EXOSC2,0.05521396,0.018923525,0.838527367,0.404356807,0.481858348,-6.812867207
EXOSC3,0.234887711,0.06165751,2.672975112,0.009191984,0.017612752,-3.726977228
EXOSC4,-0.551467839,0.006245761,-3.120516814,0.002549648,0.005587901,-2.55210948
EXOSC5,-0.631271475,0.080751118,-4.61136086,1.58E-05,5.76E-05,2.272392636
EXOSC6,0.790181464,0.057058043,7.075081061,6.26E-10,6.18E-09,12.17857105
EXOSC7,0.276860095,0.019077869,3.046690053,0.003177883,0.006812245,-2.755813726
EXOSC7///CLEC3B,0.728180167,0.17039085,5.095053316,2.46E-06,1.07E-05,4.074557215
EXOSC8,0.706698883,-0.07302991,3.814639844,0.000275302,0.000755619,-0.462507085
EXOSC9,0.192593471,-0.069733185,1.734276697,0.086912035,0.128238535,-5.679950986
EXPH5,0.139154264,0.141080206,1.265726146,0.209466729,0.274540532,-6.366947449
EXT1,0.237486772,0.119292009,1.469025566,0.145941532,0.200914862,-6.093740999
EXT2,0.87318217,0.074632365,5.981943508,6.69E-08,4.16E-07,7.589809599
EXTL1,0.608826973,0.137337454,5.800760241,1.42E-07,8.19E-07,6.853115549
EXTL2,0.656344642,0.018736793,3.413394321,0.001030409,0.002480684,-1.707658338
EXTL3,0.264432394,0.036613675,2.753321436,0.00737143,0.014462348,-3.526873428
EXTL3-AS1,-0.263181983,0.065528397,-2.883982105,0.005102133,0.010395607,-3.191175617
EYA1,-0.251136995,0.076343568,-2.547232402,0.012872817,0.023726516,-4.030242987
EYA2,-1.545663855,0.023545046,-5.176757482,1.78E-06,8.03E-06,4.387895054
EYA3,-0.197910408,0.017028121,-3.000057691,0.003645907,0.007716517,-2.882517713
EYA4,-0.543156881,0.275555623,-1.933364221,0.056905193,0.08841353,-5.327907634
EYS,0.245861722,0.06106972,5.156696712,1.93E-06,8.62E-06,4.310739639
EZH1,0.800869001,0.202576927,6.372980092,1.29E-08,9.49E-08,9.205994151
EZH2,-1.657659895,-0.066314079,-7.057446897,6.76E-10,6.64E-09,12.10303474
EZR,-0.464749268,0.316628314,-2.525014446,0.013646941,0.024956685,-4.082552893
F10,1.093173393,0.261092967,8.825048029,2.82E-13,5.90E-12,19.78483109
F11,0.120031585,0.134309312,1.345351618,0.182500928,0.243784378,-6.264551719
F11-AS1,0.105727573,0.053794381,1.623851458,0.108536582,0.155408943,-5.859987843
F11R,-0.953720321,0.101024503,-4.974718954,3.94E-06,1.64E-05,3.617541923
F12,-0.426252256,0.0904242,-2.891808916,0.004989162,0.010189722,-3.170668703
F13A1,2.048995263,0.523390921,8.46993883,1.36E-12,2.43E-11,18.23271504
F13B,-0.036461397,-0.007386811,-0.591348899,0.556036563,0.626733955,-6.989627135
F2,0.203988258,0.068016642,2.011588865,0.047798476,0.075812273,-5.180096924
F2R,1.050521085,0.309657596,5.396233022,7.41E-07,3.63E-06,5.241057607
F2RL1,-0.929986301,-0.009386293,-10.84973219,4.05E-17,2.33E-15,28.54446707
F2RL2,0.096644317,0.131287392,0.623102056,0.535077639,0.607095237,-6.970301312
F2RL3,-0.003375049,0.051987698,-0.054098266,0.956998431,0.968240319,-7.163851879
F3,2.417883108,0.049898138,9.187979588,5.69E-14,1.40E-12,21.36968013
F5,0.732835403,0.187423788,5.060360492,2.82E-06,1.21E-05,3.942243116
F7,-0.221057581,0.02569785,-2.58696181,0.011586703,0.021641433,-3.935743929
F8,0.412050794,0.253846664,1.70088834,0.09304098,0.136035242,-5.735545296
F8A3///F8A2///F8A1,-0.014649731,-0.098009792,-0.093204024,0.925986055,0.944399717,-7.160951213
F9,-0.183451122,-0.002811517,-2.627027743,0.010408551,0.019642329,-3.839205495
FA2H,-0.068543759,0.081391847,-0.731577885,0.466669737,0.542130292,-6.896746328
FAAH,-0.261349207,0.038549996,-2.661664868,0.009478811,0.018081264,-3.754752713
FAAH2,-1.185409843,0.115369322,-8.42766306,1.64E-12,2.88E-11,18.04796527
FAAP100,1.547262092,0.165993104,12.88478011,7.98E-21,1.46E-18,36.9887548
FAAP20,1.038084456,0.166165426,10.37485273,3.15E-16,1.41E-14,26.51355494
FAAP24,0.344886662,0.19722661,2.656293266,0.009617864,0.018321841,-3.767910001
FABP1,0.331458874,0.106835546,4.488886958,2.50E-05,8.70E-05,1.831727778
FABP2,0.427917877,0.209181836,4.713455464,1.08E-05,4.06E-05,2.644795888
FABP3,-0.151907959,0.14599605,-1.077317601,0.284736561,0.357950391,-6.585278823
FABP3P2,0.171657174,0.056920156,2.795089427,0.006561334,0.013038758,-3.4209347
FABP4,0.819869576,0.604715757,3.073951972,0.002930785,0.006340049,-2.681033576
FABP5,0.793644834,0.078818234,2.504113698,0.014413187,0.026213408,-4.131408032
FABP6,-0.613087214,0.36778173,-2.025746836,0.046291236,0.073642437,-5.152780781
FABP7,-0.270993612,0.055789027,-2.500410949,0.0145529,0.026439374,-4.140027297
FADD,0.760381386,0.118106613,4.414978,3.28E-05,0.000111256,1.569122538
FADS2,-0.107990155,0.100589733,-0.771351643,0.442883469,0.51894714,-6.866865745
FADS3,-0.189090784,0.041298421,-1.840063529,0.069652128,0.105442565,-5.497242778
FAF1,0.625675695,0.163428253,6.420636631,1.05E-08,7.87E-08,9.40514823
FAF2,-0.093873351,-0.01031644,-0.791356029,0.431192182,0.507818607,-6.851248736
FAH,1.091631096,-0.036837733,4.553729799,1.96E-05,6.99E-05,2.064193067
FAHD1,0.26419984,0.117684808,1.4174068,0.160439291,0.218156988,-6.166765274
FAHD2A,0.014552062,0.02987485,0.127687143,0.898732874,0.923203735,-7.157115959
FAHD2CP,0.267751789,0.117059008,2.693106517,0.008700927,0.016773081,-3.677298026
FAHD2CP///FAHD2B///FAHD2A,-0.274800616,-0.02531233,-3.509799794,0.000756442,0.001882085,-1.41748108
FAIM,-0.815353442,-0.110315565,-2.962367043,0.00407006,0.008517541,-2.983800771
FAIM2,0.101189198,0.060733354,1.150111305,0.253694042,0.324264326,-6.504941235
FAM101B,2.996949141,0.612651775,17.18648357,6.15E-28,1.24E-24,53.13163974
FAM102A,0.478192755,0.142162255,3.727337149,0.000369586,0.000985786,-0.741642138
FAM102B,1.749899738,0.302031821,6.492303337,7.74E-09,5.98E-08,9.705448076
FAM103A1,-0.722084069,-0.04171367,-6.731568974,2.77E-09,2.37E-08,10.71456033
FAM104A,-0.166455732,-0.022341927,-2.638520365,0.010091268,0.019129676,-3.811285929
FAM104B,0.0925188,0.109172544,1.047922122,0.297986363,0.372081084,-6.616277515
FAM105A,0.740379472,0.14415989,5.500144229,4.87E-07,2.48E-06,5.650490504
FAM106A,0.761199248,0.503265354,3.852242478,0.000242211,0.00067193,-0.340929366
