19,BTK
19,FGF-R1
19,SYK
19,VEGFR1
19,HIPK2
19,Lck
19,S6K1
19,CHK2
19,CDK2-Cyclin A
19,MELK
19,YES1
19,Src
19,PIM3
19,AMPK
19,CAMKK beta 
19,IGF-1R
19,TBK1
19,RSK1
19,MSK1
19,CAMK1
19,PAK4
19,GSK3 beta 
19,IKK epsilon 
19,CHK1
19,PAK5
19,MARK3
19,EPH-A2
19,MST4
19,BRSK2
19,NEK6
19,TrkA
19,SmMLCK
19,ROCK 2
19,DYRK1A
19,PIM2
19,BRSK1
19,MLK3
19,IRR
19,CSK
19,IR
19,PAK6
19,PIM1
19,PRAK
19,PKB beta 
19,PKC alpha 
19,EPH-B3
19,PKA
19,p38 beta MAPK
19,DYRK2
19,MAPKAP-K2 
19,MKK1
19,CK1 delta 
19,RSK2
19,PLK1
19,ERK1
19,p38 gamma MAPK
19,PRK2
19,JNK2
19,PKC zeta 
19,JNK1
19,DYRK3
19,MLK1
19,MNK2
19,Aurora A
20,p38 alpha MAPK
20,JNK2
20,p38 beta MAPK
20,VEGFR1
20,RSK1
20,p38 gamma MAPK
20,FGF-R1
20,p38 delta MAPK
20,BRSK2
20,RSK2
22,IKK beta 
22,ERK8
22,NUAK1
22,DYRK2
23,IKK epsilon 
23,Aurora B
23,TBK1
23,Aurora C
23,PDK1
23,MARK3
23,MELK
23,AMPK
23,FGF-R1
23,ERK8
23,CAMKK beta 
23,GSK3 beta 
23,BRSK2
23,PAK4
23,MKK1
23,MNK2
23,CHK1
23,CDK2-Cyclin A
23,RSK1
23,PAK5
23,Src
23,RSK2
23,Lck
23,PRK2
23,DYRK3
23,p38 beta MAPK
23,SGK1
23,CHK2
23,PKD1
23,CAMKK alpha 
24,CHK2
24,MKK1
24,ERK8
24,AMPK
24,MELK
24,MST2
24,BRSK2
24,VEGFR1
24,MARK3
24,PHK
24,DYRK2
24,FGF-R1
24,RSK2
24,PDK1
24,CHK1
24,RSK1
24,PIM3
24,PKD1
24,DYRK3
24,PRK2
24,YES1
24,TBK1
24,IRR
24,GSK3 beta 
25,CHK2
25,PDK1
25,PHK
25,MELK
25,DYRK2
25,MST2
25,MKK1
25,ERK8
25,SmMLCK
25,CHK1
25,DYRK3
25,HIPK2
25,Src
25,FGF-R1
25,IGF-1R
25,VEGFR1
25,PIM1
25,PKD1
25,GSK3 beta 
25,MARK3
25,Lck
25,YES1
25,ERK1
25,AMPK
25,PRK2
25,RSK1
25,IRR
25,SGK1
25,CDK2-Cyclin A
25,TBK1
25,ROCK 2
25,PIM3
