Gene.symbol
MIR4640///DDR1
RFC2
HSPA6
PAX8
GUCA1A
MIR5193///UBA7
THRA
PTPN21
CCL5
CYP2E1
EPHB3
ESRRA
CYP2A6
SCARB1
TTLL12
LOC101930489///LINC00152
WFDC2
MAPK1
MAPK1
ADAM32
SPATA17
PRR22
PRR22
PXK
PXK
VPS18
MSANTD3
SLC46A1
SLC46A1
TIMD4
SLC39A5
ZDHHC11B///ZDHHC11
ATP6V1E2
AFG3L1P
CILP2
CILP2
PIGX
TMEM196
SLC39A13
BEST4
AK9
CORO6
TMEM106A
TMEM106A
ALG10
ALG10
TTC39C
NEXN
C15orf40
RAX2
MFAP3
EYA3
GIMAP1
GIMAP1
GIMAP1
KLK8
CCDC65
CCDC65
FAM122C
FAM122C
CFAP53
CFAP53
ARMCX4
RBBP6
CENPBD1
TRIOBP
TRIOBP
CATSPER1
HOXD4
GSC
SP7
PDE7A
CNOT7
CRYZL1
PRSS33
PRSS33
CBARP
CBARP
MCMDC2
TIRAP
LEAP2
MSI2
SCIN
SCIN
CTCFL
C4orf33
C4orf33
C4orf33
ZNF333
TVP23C
RDH10
RDH10
SRSF12
FAM71A
FAM71A
GAPT
FLJ30901///SCUBE1
ERICH5
ERICH5
CCDC185
ENTHD1
ENTHD1
TSSK3
WFDC6
CLEC12A
BRF1
TMEM266
GRIK1-AS2///BACH1
CALML6
NLRP5
ODF4
ODF4
CLEC4F
DEFB106B///DEFB106A
DEFB106B///DEFB106A
WFDC9
WFDC9
NEDD1
TTLL10
TTLL10
CALR3
C10orf25
ETV3
KLHL10
KLHL10
TM2D3
ZNF485
WDR17
MFSD6L
LOC100653137///CDH23
ANKAR
MEGF11
GPR182
ESX1
FAM167A-AS1
SCGB1C2///SCGB1C1
DNAJC5G
WDR88
WDR88
PRUNE2
MBD3L2
ADAMTSL1
MBD3L1
MBD3L1
FAM46D
SERPINB11
LINC00161
DSCR10
DSCR10
ABHD11
ACAP2
GAMT
GAMT
PLCD3
IRF6
IRF6
PTPRC
MAN1A2
RAPH1
SMCR8
LACTB
LACTB
BNC1
MPP4
LACE1
IDI2
CYP11B1
TAF8
COBL
SLAMF6
ZSCAN20
ZSCAN20
GPBAR1
RHBDL2
FRAS1
BRSK1
CRB2
KCNE4
KCNE4
CD300LG
SLC34A3
CPA6
WBP2NL
HIPK1
HIPK1
MTBP
ACVR1C
TMEM74
TMEM74
TIGD4
TIGD4
ART5
FAM71C
LINC01547
NLRP11
ATP6V1C2
CLDN19
VTI1A
KIF6
IQCD
TAGAP
TAGAP
STON2
SERPINA12
LETM2
BSND
BSND
CLEC4C
NLRC4
NLRC4
PRSS36
ZDHHC15
RAI1
CDK15
ZNF570
NA
NUDT9P1
BTBD16
RTP3
RTP3
TSPEAR
MIPOL1
MIPOL1
C6orf141
ALMS1P1
MYO3B
ADAM21
TRIML2
ABCC13
ABCC13
IL12RB1
GTF2A1L
TRPV3
CNBD1
CNBD1
ABCC12
MMP21
TMEM190
GAS2L2
KCNG4
PXT1
CACNG5
LINC00308
LINC00308
FAM223A///FAM223B
WFDC11
IFNL3///IFNL2
JAK1
JAK1
CDC42SE2
CDC42SE2
ACACB
ACACB
RFWD2
STX6
ANLN
SPRR4
UPK3BL///POLR2J3///POLR2J2///POLR2J
UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J
HSH2D
TRNT1
TMEM163
ARHGAP5
HERPUD2
JMJD6
SRCAP
MAP3K6
ARSG
ZNF101
ZNF101
PTPN11
KLHDC7B
ATAD3B///ATAD3A
ZNF626
PHC3
IL11RA
TNFRSF10A
RAD51L3-RFFL///RFFL
RAD51L3-RFFL///RFFL
HPS4
UHMK1
TXNDC2
NAV3
C5orf22
PCDHGB7
PCDHGB7
ERC1
FLCN
JMJD1C-AS1
LRRC7
SH2D3C
PPP1R3B
PPP1R3B
SLC9A7
IGSF3
RFX6
DIRC1
DNAJB7
UCN3
DIP2A
USP28
KNL1
KNL1
SENP8
GRHL1
CNBD2
CNBD2
CASKIN1
CACNA2D4
ARL11
ARL11
SLC2A13
SLC2A13
NIPA1
TUBA3FP
CARD16
CARD16///CASP1
DUSP19
DUSP19
CYB5D1
NMNAT2
SLC4A1
CREG2
RXFP1
SPEF2
CEP170P1///CEP170
DTD1
CASC4
FGF1
ARPP21
RHOXF1
ADAMTS17
ADAMTS17
ADAMTS17
SNORA17B///SNORA17A///SNHG7
DHH
ABRA
ABRA
KLHDC1
RICTOR
PCDHGA4
NETO1
WWP2
ST7L
ST7L
C2orf15
KCNH8
MCF2L
SLCO6A1
PP2D1
KLC3
CIB3
CIB3
CADM2
CADM2
C9orf66
C9orf66
HDAC9
HDAC9
SLC16A11
TMEM67
TMEM67
