Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
U2AF1L4,0.714872582,-0.02219231,4.797307624,7.82E-06,3.43E-05,2.99781951
U2AF2,-1.578265567,0.11700305,-10.14407865,8.60E-16,4.17E-14,25.53865675
U2SURP,-2.673025887,0.381161911,-10.07690351,1.15E-15,5.49E-14,25.24918348
UACA,0.74535216,0.301763601,2.13175689,0.036249289,0.062807153,-4.89307531
UAP1,1.969675254,-0.090365805,5.447686324,6.02E-07,3.44E-06,5.4850944
UAP1L1,-0.148468934,0.026447768,-1.160279264,0.249556802,0.328091451,-6.442555194
UBA1,0.181931077,-0.017656523,1.346190784,0.18223141,0.252281114,-6.212829396
UBA2,0.181858137,-0.017273521,1.220544664,0.226021331,0.302136798,-6.37167218
UBA3,0.376708549,-0.226769822,0.916668533,0.362207894,0.449041598,-6.693571926
UBA5,1.480621529,0.040628745,5.162344597,1.89E-06,9.59E-06,4.375135082
UBA52,-0.216108407,-0.128108001,-0.996935703,0.321950439,0.407244305,-6.6171942
UBA6,0.934391037,0.046204132,4.569947996,1.85E-05,7.39E-05,2.167157758
UBAC1,1.900252819,-0.19070024,6.672986591,3.57E-09,3.43E-08,10.50360972
UBAC2,1.417185698,-0.066334909,5.161154707,1.89E-06,9.63E-06,4.370564679
UBAC2-AS1,-0.169942955,0.030031213,-1.489765972,0.140412628,0.201883916,-6.013223638
UBALD1,-0.688943067,0.135705148,-5.255879214,1.30E-06,6.90E-06,4.735957712
UBALD2,0.337804407,0.233092781,1.328996317,0.187814178,0.258896951,-6.235444784
UBAP1,0.874034243,-0.012465577,4.178736686,7.74E-05,0.000267743,0.792976267
UBAP1L,-0.796059812,0.100998457,-5.807608662,1.38E-07,9.05E-07,6.921242455
UBAP2,0.505440048,-0.029440429,2.375190131,0.020054771,0.037369984,-4.375714956
UBAP2L,0.894134136,0.029622501,6.110394743,3.91E-08,2.93E-07,8.156260254
UBASH3A,-0.197030693,0.061755357,-1.123436244,0.264778563,0.345203266,-6.484183174
UBASH3B,-1.388584541,0.164832332,-9.380387524,2.44E-14,8.29E-13,22.23167599
UBB,-1.475987192,-0.526008901,-2.750727824,0.007424632,0.015561474,-3.484635955
UBBP1,0.698013952,-0.038024607,3.02272578,0.003410943,0.00778978,-2.772846729
UBBP2,0.596586211,0.060415811,4.114106965,9.74E-05,0.000328985,0.573210907
