Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
RAB3IP,-1.430606702,0.155899795,-4.476484815,2.62e-05,0.000269312,1.804511644,NA,NA
RAB40A,0.175978363,0.062529164,1.7068627790000002,0.091918996,0.1445938,-5.706640749,NA,NA
RAB40AL,0.503993603,0.064342933,4.016873788,0.000137111,0.0010045289999999999,0.218142057,NA,NA
RAB40B,0.35843893299999996,0.073682843,2.37620945,0.020003366,0.043870855,-4.404122731,NA,NA
RAB40C,-0.125542255,0.059181647000000004,-0.72988953,0.46769519299999995,0.543293162,-6.878671284,NA,NA
RAB42,0.417884252,0.06713308,2.21957619,0.02942136,0.059071987,-4.742903066,NA,NA
RAB43,0.843215363,0.036366636,4.842484062,6.57e-06,8.669999999999999e-05,3.138381158,NA,NA
RAB4B,-0.200467918,0.154221358,-1.025339649,0.308446327,0.384666395,-6.620277511,NA,NA
RAB4B-EGLN2///EGLN2,0.43764862,0.034833061,2.7604007910000004,0.007227984000000001,0.020190198,-3.490530143,NA,NA
RAB4B-EGLN2///EGLN2///RAB4B,0.44416463,0.068036866,2.610632962,0.010876847,0.027544905,-3.860285043,NA,NA
RAB5A,-0.11747517199999999,0.045282669000000005,-0.793448863,0.429979686,0.507008682,-6.830294564,NA,NA
RAB5B,-0.721240256,-0.037793152,-3.8195216260000002,0.000270774,0.0016948929999999998,-0.42910469799999995,NA,NA
RAB5C,0.12276149800000001,0.040731546,0.757296715,0.451207099,0.52783748,-6.858298519,NA,NA
RAB6A,-0.118023356,0.111942763,-0.828819658,0.409794626,0.487240964,-6.801653462000001,NA,NA
RAB6B,0.178965355,0.14718498300000002,1.006375262,0.317419563,0.39399956,-6.639415842999999,NA,NA
RAB7A,0.8270395709999999,0.285880934,3.077357007,0.002901211,0.010273754,-2.6533944369999998,NA,NA
RAB7B,-1.955387816,0.20369691899999998,-7.534022892,8.42e-11,4.09e-09,14.16891005,NA,NA
RAB8A,0.765492982,0.14751187699999999,1.9139479830000001,0.059381234000000005,0.10216394599999999,-5.344831856,NA,NA
RAB8B,-1.69139888,0.108487603,-13.75014112,2.45e-22,9.23e-20,40.42799608,NA,NA
RAB9A,-1.4054204240000001,-0.032921233,-3.5976654839999997,0.000568167,0.003013901,-1.130100181,NA,NA
RAB9B,0.011167943,0.11395752199999999,0.039741669,0.968403001,0.97454296,-7.145159125,NA,NA
RAB9BP1,0.235255747,0.055006396,2.5847454009999997,0.01165527,0.028969996,-3.922459124,NA,NA
RABAC1,-0.334611073,-0.229512699,-0.855293524,0.395069461,0.472692144,-6.779414161,NA,NA
RABEP1,-1.9625222359999999,0.197190316,-5.0147134289999995,3.37e-06,5e-05,3.785262924,NA,NA
RABEP2,0.50758144,0.019014328,3.8063495030000003,0.000283158,0.0017546179999999999,-0.471527374,NA,NA
RABEPK,0.34345872899999996,0.034136787,2.161457425,0.03379983,0.065646885,-4.863458263,NA,NA
RABGAP1,0.21978134800000002,0.18461383899999997,1.088552878,0.27978132699999997,0.35588876700000005,-6.5539785329999996,NA,NA
RABGAP1L,-0.938853134,0.122968538,-3.049034057,0.003155899,0.010914746000000001,-2.73112159,NA,NA
RABGEF1,0.41105958,0.05634354,3.7605392610000004,0.00033057800000000005,0.001978929,-0.618288846,NA,NA
RABGGTA,-1.030001371,0.026366103999999998,-4.674663285,1.25e-05,0.00014625,2.519581493,NA,NA
RABGGTB,-2.052791611,-0.17282793,-5.37883854,7.95e-07,1.4400000000000001e-05,5.188843943999999,NA,NA
RABIF,0.126289711,-0.004949071,0.8889494640000001,0.37682740200000003,0.454389066,-6.7501518979999995,NA,NA
RABL2A///RABL2B,-0.012397161,0.072237257,-0.09004524400000001,0.928487482,0.9432597420000001,-7.1418722610000005,NA,NA
RABL3,-0.121503192,0.062937711,-0.546292219,0.5864607789999999,0.652435415,-6.995994202,NA,NA
RABL6,1.2445611779999999,0.202133781,4.724422627,1.0300000000000001e-05,0.000125027,2.701826875,NA,NA
RAC1,-0.35380859,0.092832143,-1.30898547,0.19447232899999997,0.264486066,-6.292887363999999,NA,NA
RAC2,-1.1362470340000002,0.149805679,-3.121613472,0.002541256,0.00929321,-2.53082459,NA,NA
RAC3,0.46259435200000004,0.101136571,2.611733561,0.010844821999999999,0.027481216,-3.857630266,NA,NA
RACGAP1,0.763931847,-0.015194862,1.682489299,0.09656684900000001,0.150298519,-5.74671352,NA,NA
RACGAP1P,0.719685349,0.21917025899999998,3.04671751,0.0031776240000000004,0.010965988000000001,-2.7374541189999997,NA,NA
RAD1,0.03892894,0.022117755,0.22521936399999998,0.822411419,0.8563237029999999,-7.120424599,NA,NA
RAD17,-0.946425648,0.009894768,-4.949886148,4.34e-06,6.14e-05,3.540419418,NA,NA
RAD18,0.228314529,0.128375488,1.164430034,0.24788179,0.322172385,-6.46932886,NA,NA
