Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
NDUFB10,0.588964395,-0.035180125,1.656644061,0.101702974,0.15507732,-5.810359404,NA,NA
NDUFB11,0.02326713,-0.119465876,0.06929341,0.944937557,0.9587880120000001,-7.165640046,NA,NA
NDUFB2,-0.482745039,0.024646691000000002,-3.1054803189999998,0.002667355,0.006799507,-2.596481762,NA,NA
NDUFB2-AS1,-0.33357622,0.102871146,-1.549401847,0.125427879,0.184896703,-5.977826092000001,NA,NA
NDUFB3,0.8000548740000001,-0.19592516100000001,2.2736172690000003,0.025804842,0.048536432000000004,-4.649705339,NA,NA
NDUFB4,0.774116262,0.052918158,3.971923287,0.000160369,0.0005964130000000001,0.048828569,NA,NA
NDUFB5,1.632890147,0.013144052,3.659473615,0.00046338699999999995,0.001488415,-0.9580564659999999,NA,NA
NDUFB6,1.204735555,0.086359701,9.312788997,3.28e-14,2e-12,21.91255756,NA,NA
NDUFB7,-0.16473939,0.038174626,-1.557152611,0.123577286,0.18259265100000002,-5.966074326,NA,NA
NDUFB8,0.998525381,0.088672742,5.544992139,4.06e-07,3.37e-06,5.82599854,NA,NA
NDUFB9,-0.296389747,-0.001293813,-0.617951495,0.538449524,0.619172369,-6.976230312,NA,NA
NDUFC1,-0.048737130999999996,0.022289536000000002,-0.362052607,0.718314653,0.778618044,-7.10210081,NA,NA
NDUFC2-KCTD14///KCTD14,0.508002657,0.121012686,1.5370332740000001,0.12842657300000002,0.188628916,-5.996465386000001,NA,NA
NDUFC2-KCTD14///NDUFC2,0.34043567399999997,0.10341008900000001,1.5549322209999998,0.12410519699999999,0.18325082,-5.96944652,NA,NA
NDUFS1,0.022019921,0.211530821,0.134878869,0.8930632209999999,0.9191217559999999,-7.158897355,NA,NA
NDUFS2,0.478297652,-0.11671582300000001,1.5630854440000002,0.122175486,0.180785875,-5.957041758,NA,NA
NDUFS3,0.567146884,-0.20949814600000002,1.56460043,0.12181956699999999,0.18039134899999998,-5.9547300729999995,NA,NA
NDUFS4,1.557732066,0.125760446,5.568314267000001,3.69e-07,3.1e-06,5.91867476,NA,NA
NDUFS6,0.34208033600000004,-0.07078438299999999,0.95623298,0.341977904,0.42864908700000004,-6.7103223739999995,NA,NA
NDUFS7,-0.07200426900000001,0.09381698,-0.45406236,0.651074383,0.720996903,-7.064368395,NA,NA
NDUFV1,-0.5158778039999999,0.010088281999999999,-2.632077202,0.010268049,0.021863389,-3.829571585,NA,NA
NDUFV2,0.781515897,-0.014230018,2.461545572,0.016094513,0.032315549,-4.232479024,NA,NA
NDUFV2-AS1,0.702653325,0.123623015,2.807679175,0.006333671,0.014399478,-3.391353138,NA,NA
NDUFV3,0.33997024600000003,-0.020669747,1.7547547,0.083320192,0.131076672,-5.6480423470000005,NA,NA
NEB,-0.8122129370000001,0.091226494,-3.951903087,0.000171906,0.0006342230000000001,-0.017339208999999998,NA,NA
NEBL,2.511690705,0.41158114700000004,6.744474808,2.62e-09,4.3099999999999996e-08,10.7672581,NA,NA
NEBL-AS1,0.200091563,0.081795315,1.277471925,0.205313425,0.279594642,-6.354924555,NA,NA
NECAB1,0.26201334,0.107666956,2.0851584130000003,0.040403228,0.071009905,-5.038946405,NA,NA
NECAB2,-0.44190156700000005,0.015894251,-3.688899905,0.000420225,0.001366375,-0.865639864,NA,NA
NECAB3,-0.245238244,0.099233009,-0.892823224,0.374762285,0.462130563,-6.768710359,NA,NA
NECAP1,0.594065364,-0.319138856,1.565486203,0.121611853,0.180143789,-5.953377519,NA,NA
NECAP2,1.464057515,0.22331715600000002,5.754968615,1.72e-07,1.61e-06,6.666081615,NA,NA
NECTIN1,-0.205773388,0.018057396,-1.8279595709999998,0.071469037,0.115172513,-5.521328991,NA,NA
NECTIN2,0.369735601,0.10342354699999999,1.6408175669999998,0.10495614199999999,0.159240095,-5.835731062000001,NA,NA
NECTIN3,1.350858794,0.208135696,3.5984400410000004,0.000566724,0.0017756879999999999,-1.1480828790000002,NA,NA
NECTIN4,-1.414891331,0.008173162,-6.89892591,1.35e-09,2.44e-08,11.42381621,NA,NA
NEDD1,-0.482980724,0.031946477,-3.6063032510000004,0.000552277,0.0017350710000000001,-1.123727392,NA,NA
NEDD4,1.011357992,0.138305041,3.5076078269999997,0.0007618210000000001,0.0023075829999999998,-1.426677507,NA,NA
NEDD4L,1.473538737,0.129791452,7.7495168660000004,3.26e-11,9.279999999999999e-10,15.08923449,NA,NA
NEDD8,0.775243989,-0.058878478,2.794773554,0.006567140999999999,0.014861843000000001,-3.4243469689999997,NA,NA
NEDD8-MDP1///MDP1,0.768378905,0.003911871,1.9591748469999999,0.053749791,0.090469179,-5.282392172,NA,NA
NEDD9,-1.197356204,0.099897585,-4.543904667,2.0399999999999998e-05,0.000100322,2.026447561,NA,NA
NEFH,2.7482309889999996,0.360220424,3.64968363,0.00047865900000000004,0.001531501,-0.9886883909999999,NA,NA
NEFL,0.097436094,0.061810422000000004,0.636943178,0.526070465,0.607449575,-6.964290036,NA,NA
NEFM,0.346766605,0.054161880999999995,2.079510585,0.040933645,0.07177544799999999,-5.050150628,NA,NA
NEGR1,2.421292649,0.518658994,6.858637705,1.6e-09,2.84e-08,11.25222113,NA,NA
NEGR1-IT1,-0.97227788,-0.146745224,-6.611439229,4.65e-09,7.08e-08,10.20467351,NA,NA
NEIL2,0.391594696,0.042864282999999996,1.639729456,0.105182866,0.159549928,-5.837467096,NA,NA
NEIL3,-1.419528013,0.25081589600000004,-5.442891045,6.14e-07,4.83e-06,5.422225407000001,NA,NA
NEK1,0.616604692,0.241257547,2.878424846,0.005183770999999999,0.012102183,-3.20830762,NA,NA
NEK10,-0.309314553,0.124644398,-1.7197489080000001,0.089536741,0.139360985,-5.7069483860000005,NA,NA
NEK11,-0.172170348,0.027086631,-1.4372167869999999,0.154749299,0.220485008,-6.141731791000001,NA,NA
NEK2,-0.281330609,0.050261682,-2.0946025130000003,0.039529557,0.069774111,-5.020150599999999,NA,NA
NEK3,1.2864761359999999,0.151832942,5.5636583239999995,3.7600000000000003e-07,3.15e-06,5.900160229,NA,NA
NEK4,0.831527742,0.0056899590000000005,1.979551822,0.051365037,0.087108485,-5.243941415,NA,NA
NEK5,3.165463462,0.450989053,6.790272567000001,2.15e-09,3.6600000000000003e-08,10.96157373,NA,NA
NEK6,-0.23608397600000003,0.15450129699999998,-0.701167775,0.485333709,0.569378615,-6.921264696000001,NA,NA
NEK7,2.3538822269999997,-0.163082367,5.2957888980000005,1.11e-06,8.05e-06,4.846307541,NA,NA
NEK8,0.17224923,0.47246627,0.576164134,0.566201845,0.644547705,-7.0012421279999995,NA,NA
NEK9,1.976656419,0.159137395,5.424286502,6.620000000000001e-07,5.16e-06,5.349000747,NA,NA
NELFB,0.472451312,0.137069049,1.8531484,0.067731637,0.11014972,-5.476631713,NA,NA
