Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Division,Category
ABCB10,0.134408472,-0.038811381,0.5759055479999999,0.566375737,0.636653564,-6.998664453,NA,NA
ABCB11,0.09000347800000001,0.04693849,1.392812065,0.167726362,0.226721858,-6.200687893,NA,NA
ABCB4,0.510463511,0.530222107,3.248623051,0.001726162,0.00392721,-2.189765038,NA,NA
ABCB4///ABCB1,0.533402925,0.18069044899999998,3.646625528,0.000483527,0.001259164,-0.99572745,NA,NA
ABCB5,0.550004806,0.37535634799999995,3.8608166039999996,0.000235217,0.000654489,-0.313094992,NA,NA
ABCB6,-0.046409337,0.048138411,-0.552397595,0.582292391,0.6505338979999999,-7.011965941000001,NA,NA
ABCB7,0.236215607,0.092549555,1.9328533769999998,0.056969199000000005,0.088496398,-5.3288554889999995,NA,NA
ABCB8,0.55588877,0.09007502699999999,7.532456579,8.48e-11,1e-09,14.14937743,NA,NA
ABCB8///ASIC3,-0.195330125,0.027695854,-2.6874036539999997,0.00883755,0.017008419,-3.691402505,NA,NA
ABCB9,0.201156168,0.050103725999999994,1.600334676,0.113661709,0.16164331699999998,-5.896905092999999,NA,NA
ABCC1,0.040657606,0.021360751,0.458196727,0.648114902,0.710321146,-7.059745153,NA,NA
ABCC10,0.30711052899999997,0.014199245,2.647664771,0.009845114,0.01870294,-3.7889986110000002,NA,NA
ABCC11,0.055327345,0.077851792,0.669438202,0.505238984,0.57855787,-6.940305932,NA,NA
ABCC12,-0.201288036,0.02426191,-3.293325568,0.0015030389999999999,0.003466067,-2.060729203,NA,NA
ABCC13,1.3356705979999999,0.562279356,6.98859638,9.120000000000001e-10,8.67e-09,11.80848188,NA,NA
ABCC2,0.052525021,0.06277936099999999,0.660348513,0.5110211170000001,0.583915269,-6.94635774,NA,NA
ABCC3,1.315576342,0.282844005,6.353790217,1.4e-08,1.0199999999999999e-07,9.125925404,NA,NA
ABCC4,1.249797733,0.637909677,4.962418878,4.13e-06,1.7199999999999998e-05,3.5711364789999998,NA,NA
ABCC5,-0.12462785,0.021259258,-1.31982517,0.190844063,0.253466376,-6.298027771,NA,NA
ABCC6P1,0.10015080400000001,0.097786085,1.233064119,0.221341567,0.288082408,-6.407218703,NA,NA
ABCC8,-0.096782224,0.03517134,-0.919352572,0.36081177799999997,0.437426947,-6.742039696,NA,NA
ABCC9,0.336454097,0.305032082,2.141282989,0.035447355,0.05819117,-4.923479703,NA,NA
ABCD1,-0.325390106,-0.015084365,-3.8393327760000004,0.000253118,0.000699308,-0.38275993399999997,NA,NA
ABCD2,0.09894928199999999,0.045872852,1.599907424,0.11375659,0.161695463,-5.897571152,NA,NA
ABCD3,0.28599699100000003,0.119814768,2.396073276,0.019024773000000002,0.033527597,-4.378432098,NA,NA
ABCD4,-0.641530983,0.003396691,-8.223767516,4.03e-12,6.48e-11,17.15732514,NA,NA
ABCE1,0.574697523,-0.012155073,3.5711949,0.000619607,0.001571723,-1.2296538670000001,NA,NA
ABCF1,-0.47244105200000003,-0.27880747300000003,-2.643126356,0.009966591,0.018912692,-3.800067929,NA,NA
ABCF2,0.702146736,0.35819230799999996,4.260448338,5.7700000000000007e-05,0.00018532900000000003,1.028477555,NA,NA
ABCF3,0.079864191,0.040875,0.771075387,0.443046206,0.51902835,-6.867078658,NA,NA
ABCG1,0.380883841,0.160213665,1.884805775,0.063268299,0.096930838,-5.41698955,NA,NA
ABCG2,0.9027911590000001,0.3403268,3.908479973,0.00019972599999999998,0.000565508,-0.15761108,NA,NA
ABCG4,0.032584617,0.049296739000000006,0.331881928,0.740889373,0.79150494,-7.1098972510000005,NA,NA
ABCG5,-0.362559856,0.003844395,-4.731808632,1e-05,3.82e-05,2.7122154419999998,NA,NA
ABCG8,-0.09329937699999999,0.046919909,-1.134752306,0.26003539999999997,0.331201366,-6.522314682999999,NA,NA
ABHD1,-0.093361615,0.0030685720000000003,-1.144139992,0.256146286,0.326966143,-6.511722541,NA,NA
ABHD10,0.25729681600000004,-0.033891892,1.181762009,0.240974343,0.310183101,-6.4684284970000006,NA,NA
ABHD11,0.35157193,0.088336666,4.232427543,6.38e-05,0.000202678,0.93169748,NA,NA
