Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
TAF1A,2.477163847,0.358427526,5.248416344,1.34E-06,6.33E-06,4.779942693
TAF1A-AS1,-0.039591408,-0.002366486,-0.183066162,0.855232228,0.875120433,-7.006414172
TAF1B,0.631347475,0.013449249,3.13057623,0.002473626,0.004664893,-2.391534625
TAF1C,1.929364599,0.097663333,7.598645387,6.34E-11,1.44E-09,14.52223405
TAF1D,2.399161684,-0.081184643,4.658610458,1.32E-05,4.63E-05,2.565139068
TAF1L,-0.686806447,-0.040219257,-4.460733169,2.77E-05,8.80E-05,1.854105232
TAF2,1.160566619,-0.185254449,2.093751377,0.039607619,0.056621262,-4.881386479
TAF3,0.431356571,0.062124999,1.393577135,0.167495925,0.207673638,-6.059462929
TAF4,-0.458944551,0.010480274,-2.982321906,0.003840117,0.0069268,-2.796895188
TAF4B,-0.579649211,0.086579117,-1.356984421,0.178791565,0.220167767,-6.108817074
TAF5,1.661682434,0.176229036,4.244690638,6.11E-05,0.000175195,1.098541665
TAF5L,-0.932297887,0.089571044,-4.410626727,3.34E-05,0.000103319,1.676884012
TAF6,1.241839145,-0.022614435,4.158738804,8.31E-05,0.000231024,0.804316975
TAF6L,-0.416841871,0.052461487,-2.596717906,0.011289205,0.018290735,-3.776848532
TAF7,2.884237478,-0.237171468,5.650106066,2.64E-07,1.57E-06,6.358224031
TAF7L,-0.621365078,0.054137121,-3.564617221,0.000633059,0.001388393,-1.120188537
TAF8,-0.402261159,0.053152494,-1.699556549,0.093292608,0.122665746,-5.598485957
TAF9B,0.313472999,0.189678025,0.895651658,0.373258951,0.42401652,-6.622180972
TAGAP,2.792895332,0.357181075,5.477931301,5.33E-07,2.85E-06,5.675582969
TAGLN,-1.498724648,0.424135593,-4.399018947,3.48E-05,0.000107222,1.635996482
TAGLN2,0.388887432,-0.007414262,1.840128859,0.069642428,0.094269273,-5.358355475
TAGLN3,-1.200960674,-0.112379191,-6.047059461,5.10E-08,3.89E-07,7.963105481
TAL1,-1.185440714,0.2290027,-4.248019492,6.03E-05,0.000173352,1.110011492
TAL2,-1.222872847,0.00323228,-4.064570623,0.000115985,0.000309473,0.486316532
TALDO1,3.581934064,-0.235393412,8.004269191,1.06E-11,3.24E-10,16.27974666
TAMM41,-1.467106293,0.12539848,-6.563073249,5.72E-09,6.20E-08,10.10315451
TANC1,-0.234760014,0.061883824,-1.124175133,0.264467012,0.312028168,-6.393308678
TANC2,-0.211048361,0.033041146,-1.324096841,0.18942829,0.231839945,-6.152106215
TANGO2,-0.155518357,0.081568576,-0.659590446,0.511504926,0.56015726,-6.805211959
TANGO6,0.004525561,0.060320767,0.026321488,0.979069714,0.982429809,-7.02290662
TANK,0.46478718,0.085386562,3.379719161,0.001146461,0.002357752,-1.676677239
TAOK1,-3.175501764,0.509744861,-7.043141775,7.19E-10,1.09E-08,12.13571966
TAOK2,-1.130722821,0.161927693,-5.930321616,8.30E-08,5.89E-07,7.486967427
TAOK3,1.300764724,0.123535627,2.952197246,0.00419209,0.007487536,-2.877373195
TAP1,0.944380122,-0.086428733,1.745852733,0.084866247,0.112659829,-5.521342129
TAP2,0.235707044,0.078591933,0.790738775,0.431550177,0.481907457,-6.710275077
TAPBP,0.139999472,0.022905063,0.707703776,0.481287834,0.530859573,-6.77235043
TAPBPL,1.036843033,0.084540335,3.062616614,0.003031273,0.005602887,-2.579253711
TAPT1,-0.894811608,0.047623445,-5.940462156,7.96E-08,5.67E-07,7.528196647
TAPT1-AS1,-0.060476545,0.051045006,-0.2345898,0.815156214,0.839408047,-6.995604551
TARBP1,2.211697497,-0.171857474,4.050715022,0.000121775,0.000322985,0.43991887
