Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ARMCX6,0.34253131,0.05936946,2.506011355,0.014342053,0.034014056,-4.108350568
ARMT1,-1.177682879,-0.078657147,-2.030241753,0.045821327,0.083308435,-5.125183836
ARNT,0.074093635,0.232004233,0.376462485,0.707619115,0.759136984,-7.074666173
ARNT2,-1.275291583,0.121384117,-3.163401437,0.002240012,0.008488287,-2.413853374
ARNTL,-0.831658228,0.170591764,-4.019072903,0.00013606,0.0009998,0.225474789
ARNTL2,0.723568134,0.120152099,2.795323185,0.006557039,0.01881022,-3.401881751
ARNTL2-AS1,0.415835467,0.145464803,2.843805449,0.005720042,0.016992653,-3.277314015
ARPC1A,-1.600314295,-0.124944421,-3.555256965,0.000652679,0.003354112,-1.260744934
ARPC1B,0.179331504,-0.077187277,0.444278684,0.658100084,0.71631849,-7.046705444
ARPC2,0.194487755,0.020236916,0.658189557,0.512399635,0.584949,-6.928462512
ARPC3,-1.143019446,-0.43173044,-2.687497763,0.00883528,0.023534975,-3.672644363
ARPC4,0.130484048,0.110774332,0.721678548,0.47270041,0.547790133,-6.884630685
ARPC4-TTLL3///ARPC4,-0.362943937,0.061102694,-2.593977239,0.011372071,0.028444259,-3.900346501
ARPC4-TTLL3///TTLL3///ARPC4,0.262734093,0.124155691,1.755686662,0.083159687,0.13338324,-5.624766229
ARPC5,-1.615171213,0.068132246,-5.483985719,5.20E-07,9.91E-06,5.602456584
ARPC5L,1.107232697,0.043171657,3.18943766,0.002069552,0.00799366,-2.340371308
ARPIN,0.391537272,0.102432395,2.21855472,0.029493801,0.059198063,-4.745046176
ARPP19,-0.483169647,0.011296093,-2.947744188,0.004246582,0.013642228,-3.004468641
ARPP21,0.261638469,0.074638298,2.737520953,0.007701028,0.021173539,-3.5481154
ARR3,0.391166541,-0.002113677,3.378023646,0.001152618,0.005105355,-1.79460426
ARRB1,0.421850038,0.159483414,2.234913897,0.028352259,0.057387576,-4.710619559
ARRB2,-0.412027936,0.007672535,-2.415614002,0.018103975,0.040659838,-4.315755966
ARRDC1,0.569673186,0.085997916,3.802750646,0.000286635,0.00177073,-0.483100716
ARRDC1-AS1,0.443814022,0.122742666,2.194088991,0.031276227,0.061903361,-4.796117682
ARRDC2,1.397241787,-0.008726407,5.081459276,2.59E-06,3.98E-05,4.039010495
ARRDC3,-1.321633365,-0.1688872,-2.317419161,0.023167221,0.049042472,-4.533631005
ARRDC3-AS1,0.555834415,0.010295243,3.594737058,0.000573651,0.003035223,-1.139156884
ARRDC4,-2.983880077,0.490537122,-6.159351735,3.18E-08,8.56E-07,8.333830579
ARSA,0.18859399,0.072756519,1.067362752,0.289177381,0.36528967,-6.5766319
ARSB,-0.158250403,0.130107056,-0.494493084,0.622380378,0.685022258,-7.023040624
ARSD,0.465119128,0.068245101,1.61337997,0.110795185,0.167801241,-5.857421903
ARSE,0.617737282,0.079081833,4.423844628,3.18E-05,0.000315834,1.617573443
