Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
MMP20,-0.255311803,-0.030813803,-2.31675284,0.023205487,0.041919285,-4.294703182
MMP21,-0.092846588,0.059339778,-0.818327698,0.415721338,0.497212559,-6.560451561
MMP23A///MMP23B,0.63964728,-0.015933195,4.018138954,0.000136505,0.000480635,0.441102683
MMP24,-0.388653398,0.134651978,-2.571857449,0.012061298,0.023751693,-3.715345119
MMP24-AS1,0.410156902,0.089848425,2.195120582,0.031199209,0.054242832,-4.552491752
MMP25,-0.821239394,0.06410924,-4.819116454,7.19E-06,3.74E-05,3.256079009
MMP25-AS1,-0.389355632,0.077861229,-2.492294301,0.014863427,0.028413644,-3.901556431
MMP26,-0.695820465,0.062146422,-4.221369303,6.64E-05,0.000256591,1.126283637
MMP27,-0.126632579,0.030403648,-1.286847511,0.202042272,0.271257406,-6.073349271
MMP28,0.230967603,0.388203806,1.095057285,0.276940081,0.353549669,-6.298177894
MMP3,0.106051904,0.147154665,0.51222159,0.609977122,0.679446297,-6.763439661
MMP7,2.029600186,0.109088949,2.94416403,0.004290866,0.009619383,-2.780248666
MMP8,-0.185359549,0.118331258,-1.502627928,0.137067326,0.195454858,-5.779141
MMP9,1.412608272,0.271451339,2.3871619,0.019458388,0.035975871,-4.139972702
MMRN1,-0.967942784,0.302418981,-3.764726946,0.000325947,0.001021273,-0.38222517
MMRN2,1.163368326,0.299878123,3.014975354,0.003489651,0.008046438,-2.590944459
MMS19,1.268120998,-0.103874783,5.578501117,3.54E-07,2.82E-06,6.165933325
MN1,0.970011554,0.41986997,3.22760268,0.001841494,0.004600837,-2.001594025
MNAT1,0.695166742,-0.042890578,3.078794975,0.002888805,0.006821693,-2.417313712
MND1,0.393179397,0.204541306,1.698912766,0.093414444,0.141112329,-5.474402905
MNDA,2.089295619,0.670986848,4.596040755,1.68E-05,7.80E-05,2.442568489
MNS1,1.036608295,0.095191086,3.313361461,0.00141209,0.003643527,-1.755270398
MNT,-0.385046335,0.095546832,-2.846744654,0.005672603,0.012266536,-3.034825435
MNX1,-0.149327731,0.062478372,-1.093338524,0.277688911,0.354403842,-6.300034603
MNX1-AS1,-0.053464087,0.03258291,-0.496468882,0.620992551,0.689402252,-6.771380966
MOAP1,0.805590453,-0.084268302,2.097037426,0.039306973,0.066310374,-4.75144587
MOB1A,0.418843813,0.074968382,1.414781751,0.161205228,0.224206133,-5.904129447
MOB1B,1.159238185,0.043434729,2.452704199,0.016465029,0.031082948,-3.992366265
MOB2,0.531751308,0.016530712,2.994824382,0.003702244,0.008463742,-2.645176189
MOB3A,1.266281201,0.03651276,5.922308506,8.58E-08,8.51E-07,7.542550525
MOB3B,-0.586795531,0.025148479,-1.434052674,0.155647488,0.2176616,-5.877320285
MOB3C,-0.294515816,0.074596919,-2.674405053,0.009156289,0.018674796,-3.468132331
MOB4,0.59394394,-0.128879287,2.147726494,0.034913715,0.059793269,-4.649631481
MOBP,-0.399467767,0.070875379,-3.113516645,0.00260383,0.006232484,-2.321662419
