Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
CSTA,2.807245659,-0.30784909,4.476056859,2.62e-05,0.000124655,1.783550045
CSTL1,-0.473795233,-0.016505969,-4.174848334,7.840000000000001e-05,0.000321272,0.7316171459999999
CTSB,0.972325953,-0.027149582000000002,2.569140328,0.012148514,0.025271685,-3.9809111739999996
CTSC,1.360906274,0.21568986899999998,3.836100971,0.000255921,0.000891072,-0.39571177399999996
CTSF,1.956545079,-0.041138875,5.502452871,4.82e-07,3.92e-06,5.657381185
CTSG,-0.7829025490000001,-0.057910902,-4.559889297,1.92e-05,9.53e-05,2.083977434
CTSH,1.8350772180000001,-0.004848377,4.806200402,7.55e-06,4.24e-05,2.9845748060000004
CTSK,2.214973401,0.09525613699999999,3.6049742489999996,0.000554694,0.0017416789999999999,-1.127846478
CTSL,2.032414293,0.013701678,5.441740525,6.17e-07,4.85e-06,5.41769396
CTSO,2.290506938,0.229822577,5.712302792999999,2.05e-07,1.86e-06,6.494369282
CTSS,2.1834756669999997,0.217614804,4.819622617,7.17e-06,4.0600000000000004e-05,3.0343868080000003
CX3CL1,-1.6368270409999999,0.005698862,-5.031250138,3.16e-06,1.99e-05,3.829240126
CXCL13,-1.624014083,0.542294003,-2.68068911,0.009000914,0.019555075,-3.710593757
CXCL6,4.0921239169999994,0.8146006020000001,6.557074305,5.870000000000001e-09,8.68e-08,9.975618313
CXCL8,-0.482663691,0.04704052,-2.567866858,0.012189587,0.025340519,-3.9839417189999997
DMBT1,-0.634586169,0.128167796,-2.2699922619999997,0.02603456,0.04890227900000001,-4.657470973
EFEMP2,1.783190879,0.45091732799999995,5.18515706,1.72e-06,1.17e-05,4.417944179
ELANE,-0.27214758,0.049822082999999996,-2.404294696,0.018632392,0.036650114,-4.36260122
ELFN1,0.6852969259999999,0.078768753,2.9511240510000003,0.004205163,0.010103031,-3.01640861
ELFN2,-0.481812054,0.057297625,-3.33177604,0.0013330870000000002,0.0037336179999999997,-1.951237635
ELSPBP1,-0.643979454,0.059055997,-4.078062678999999,0.00011060100000000001,0.000430715,0.403245366
EMCN,1.3199771679999999,0.495835029,2.319924873,0.023023822000000003,0.044047555999999995,-4.549554996
EMID1,-0.597614002,0.089332723,-2.665353208,0.009384393000000001,0.020257489,-3.748323313
EMILIN1,1.870860235,0.502361737,4.7572910969999995,9.11e-06,5e-05,2.803692191
ESM1,-1.365982234,0.320923526,-3.1059925930000003,0.002663263,0.006792192,-2.595060353
F12,-1.291461875,0.0904242,-4.9631539469999995,4.12e-06,2.5e-05,3.571573113
F13A1,1.900871264,0.5233909210000001,4.451078766,2.8800000000000002e-05,0.000135042,1.694660969
F13B,-0.26766980100000004,-0.007386811,-2.459139211,0.016194609,0.032490106,-4.2380009219999994
F7,-0.866223392,0.02569785,-5.742324963,1.8100000000000002e-07,1.68e-06,6.615143947000001
F9,-0.522300466,-0.002811517,-4.23679991,6.28e-05,0.000265652,0.9443305329999999
FAM20A,1.586086226,0.12969076400000001,3.66208108,0.000459398,0.0014777479999999999,-0.9498882820000001
FAM20B,0.48683788200000006,0.02773651,3.15009177,0.002332135,0.006063224,-2.4720207430000003
FASLG,-0.475785681,0.079608129,-2.834255655,0.0058767030000000005,0.013509851000000002,-3.3230211769999998
FBLN5,0.828015037,0.12805671400000002,2.72580346,0.007954092,0.017560643,-3.598568215
FBLN7,-0.779743836,0.055944909,-3.632249718,0.0005070469999999999,0.001610506,-1.043094965
FBN3,-0.897238915,0.02388369,-3.7543140489999995,0.00033758,0.001132011,-0.658365261
FCN1,3.000590592,0.31563925800000003,9.503370906,1.42e-14,9.45e-13,22.74250186
FCN2,-0.385466816,0.075216487,-2.464466802,0.015973746,0.032099169,-4.225769472
FCN3,-0.831917268,0.008847318,-3.920692282,0.000191494,0.000698209,-0.12005312800000001
FGA,-1.059346237,0.023931313,-6.267178186000001,2.02e-08,2.5399999999999997e-07,8.763359976
FGF1,3.773214612,0.43167712700000005,11.47708261,2.78e-18,4.12e-16,31.19502484
FGF10,-0.453042601,0.0032685509999999997,-3.4983448089999998,0.0007849539999999999,0.002366684,-1.454801305
FGF13,4.156077058999999,0.419920046,9.051008818,1.04e-13,5.690000000000001e-12,20.77047791
FGF16,-0.638483895,-0.004401986,-3.65754674,0.000466355,0.001496445,-0.96409001
FGF19,-0.477911772,0.084847369,-3.2039482489999997,0.001979895,0.005255047,-2.319954839
FGF2,1.6457396830000002,0.240476503,6.3571773789999995,1.38e-08,1.82e-07,9.137971741
FGF21,-0.36904949600000003,0.12920953400000001,-2.3574294190000002,0.02096951,0.04060684,-4.467160719
FGF22,-1.349496066,0.049949392,-6.0795682189999996,4.45e-08,5.02e-07,7.987972458
FGF23,-0.835252214,0.039303155,-5.511615868,4.65e-07,3.8e-06,5.693654951
FGF4,-0.447699213,0.0017891489999999999,-3.779739676,0.00030984700000000003,0.0010502,-0.577125337
FGF5,-0.419487425,0.047817252000000005,-2.606637925,0.010993816000000002,0.023184358999999998,-3.891112029
FGF6,-0.515316341,0.010423611,-2.8866062739999996,0.005063995999999999,0.011863086,-3.186902841
FGF9,3.396648085,0.658664206,8.300032417999999,2.8800000000000002e-12,1.1e-10,17.48873786
FGFBP1,-0.508388414,0.070412462,-2.4587888430000002,0.01620923,0.032507698,-4.238804528999999
FGFBP3,-0.567019656,0.048131957999999996,-3.967122147,0.00016306600000000001,0.000605126,0.032940574
FGL2,3.0854508860000003,0.18877210100000003,5.456095092000001,5.82e-07,4.62e-06,5.474260799
FLG2,-0.361750752,-0.015585587,-4.178509148,7.74e-05,0.000317625,0.744132494
FMOD,1.948053805,-0.004415138,5.018695155,3.32e-06,2.07e-05,3.7816014119999997
FNDC7,-0.9111269890000001,0.034086763,-4.801361045,7.69e-06,4.31e-05,2.966633269
FRAS1,5.709913092000001,0.339520675,10.17582529,7.49e-16,6.68e-14,25.65592247
GAS6,1.509020895,0.109835424,4.237177008,6.27e-05,0.000265392,0.9456312509999999
GDF10,-0.380296075,0.007881081,-2.684304707,0.008912608,0.019397363,-3.701672552
GDF11,-1.27554452,0.081491614,-5.569917372000001,3.6700000000000004e-07,3.08e-06,5.925051064
GDF3,-0.74064451,-0.03081134,-4.698901663,1.1400000000000001e-05,6.05e-05,2.589058622
GDF5,-1.048412758,-0.22847549600000003,-6.641924116,4.08e-09,6.28e-08,10.33333446
GDF9,-1.20384394,-0.022186143,-6.119594717000001,3.76e-08,4.35e-07,8.152746897
GH1,-0.593020985,0.038273842999999995,-3.78653175,0.000302815,0.001030295,-0.555359962
GH2,-0.311949843,0.05726250099999999,-2.284110365,0.025149937,0.04750163599999999,-4.627165722
GLDN,-1.6706493930000001,0.097952215,-5.015517822,3.36e-06,2.09e-05,3.769554735
