"allgenes"
327.915934946
350.722105344
206.709408922
355.966469976
163.410003069
418.577548566
187.090023955
419.367649508
275.962928601
422.987937008
360.240510393
453.71126969
267.255279764
352.477585016
400.663204279
463.702443152
169.689843532
207.084122176
55.420677212
144.726801911
132.070451791
126.395769946
303.091333242
155.006130366
472.280965891
473.377843755
474.913410972
272.69296228
173.875636915
374.125430106
395.583162443
107.251715811
98.053483327
98.428124573
100.868864544
90.691479615
106.996128658
