"CNumber","Kinase","Inhibition","Standard Deviation","Screen Conc"
"177","DYRK2","89","5","1.00"
"177","DYRK3","101","2","1.00"
"177","NEK2a","89","1","1.00"
"177","NEK6","93","5","1.00"
"177","IKK beta ","95","6","1.00"
"177","IKK epsilon ","92","10","1.00"
"177","TBK1","102","13","1.00"
"177","PIM1","72","9","1.00"
"177","PIM2","106","4","1.00"
"177","PIM3","80","3","1.00"
"177","SRPK1","88","5","1.00"
"177","EF2K","85","3","1.00"
"177","HIPK1","98","9","1.00"
"177","HIPK2","82","4","1.00"
"177","HIPK3","103","10","1.00"
"177","CLK2","90","2","1.00"
"177","PAK2","110","8","1.00"
"177","PAK4","81","6","1.00"
"177","PAK5","103","6","1.00"
"177","PAK6","87","1","1.00"
"177","MST2","89","4","1.00"
"177","MST4","72","9","1.00"
"177","GCK","80","0","1.00"
"177","MINK1","83","1","1.00"
"177","MEKK1","92","2","1.00"
"177","MLK1","75","1","1.00"
"177","MLK3","79","18","1.00"
"177","TAO1","66","5","1.00"
"177","ASK1","95","6","1.00"
"177","TAK1","3","1","1.00"
"177","IRAK4","28","2","1.00"
"177","RIPK2","39","2","1.00"
"177","TTK","91","8","1.00"
"177","MPSK1","101","10","1.00"
"177","Src","43","3","1.00"
"177","Lck","30","4","1.00"
"177","CSK","56","7","1.00"
"177","YES1","60","2","1.00"
"177","ABL","71","6","1.00"
"177","BTK","93","0","1.00"
"177","JAK2","75","0","1.00"
"177","SYK","77","5","1.00"
"177","ZAP70","96","6","1.00"
"177","TIE2","93","9","1.00"
"177","BRK","25","0","1.00"
"177","EPH-A2","55","2","1.00"
"177","EPH-A4","46","8","1.00"
"177","EPH-B1","81","8","1.00"
"177","EPH-B2","75","5","1.00"
"177","EPH-B3","100","4","1.00"
"177","EPH-B4","90","5","1.00"
"177","FGF-R1","87","7","1.00"
"177","HER4","95","1","1.00"
"177","IGF-1R","93","8","1.00"
"177","IR","94","7","1.00"
"177","IRR","96","14","1.00"
"177","TrkA","24","11","1.00"
"177","VEGFR1","13","6","1.00"
"2","MKK1","86","5","1.00"
"2","ERK1","103","1","1.00"
"2","ERK2","82","4","1.00"
"2","JNK1","92","4","1.00"
"2","JNK2","84","0","1.00"
"2","JNK3","93","3","1.00"
"2","p38 alpha MAPK","49","1","1.00"
"2","p38 beta MAPK","77","1","1.00"
"2","p38 gamma MAPK","97","0","1.00"
"2","p38 delta MAPK","108","1","1.00"
"2","ERK8","81","1","1.00"
"2","RSK1","89","2","1.00"
"2","RSK2","95","1","1.00"
"2","PDK1","97","5","1.00"
"2","PKB alpha ","102","9","1.00"
"2","PKB beta ","95","2","1.00"
"2","SGK1","101","5","1.00"
"2","S6K1","86","6","1.00"
"2","PKA","86","2","1.00"
"2","ROCK 2","86","1","1.00"
"2","PRK2","110","1","1.00"
"2","PKC alpha ","77","4","1.00"
"2","PKC zeta ","86","0","1.00"
"2","PKD1","35","2","1.00"
"2","MSK1","81","6","1.00"
"2","MNK1","109","1","1.00"
"2","MNK2","105","0","1.00"
"2","MAPKAP-K2 ","116","0","1.00"
"2","MAPKAP-K3","90","1","1.00"
"2","PRAK","88","7","1.00"
"2","CAMKK alpha ","94","5","1.00"
"2","CAMKK beta ","90","1","1.00"
"2","CAMK1","83","3","1.00"
"2","SmMLCK","78","0","1.00"
"2","PHK","84","1","1.00"
"2","CHK1","97","8","1.00"
"2","CHK2","75","3","1.00"
"2","GSK3 beta ","95","1","1.00"
"2","CDK2-Cyclin A","94","3","1.00"
"2","PLK1","94","2","1.00"
"2","Aurora B","90","7","1.00"
"2","Aurora C","88","6","1.00"
"2","AMPK","81","6","1.00"
"2","MARK3","67","2","1.00"
"2","BRSK2","108","4","1.00"
"2","MELK","84","2","1.00"
"2","CK1 delta ","30","0","1.00"
"2","CK2","88","0","1.00"
"2","DYRK1A","91","4","1.00"
"2","DYRK2","95","1","1.00"
"2","DYRK3","84","1","1.00"
"2","NEK2a","99","4","1.00"
"2","NEK6","98","8","1.00"
"2","NEK7","93","6","1.00"
"2","IKK beta ","92","1","1.00"
"2","PIM1","104","5","1.00"
"2","PIM2","100","5","1.00"
"2","PIM3","98","3","1.00"
"2","SRPK1","94","7","1.00"
"2","MST2","46","3","1.00"
"2","EF2K","97","1","1.00"
"2","HIPK2","99","2","1.00"
"2","HIPK3","101","3","1.00"
"2","PAK4","82","2","1.00"
"2","PAK5","73","9","1.00"
"2","PAK6","94","5","1.00"
"2","Src","20","6","1.00"
"2","Lck","30","0","1.00"
"2","CSK","31","1","1.00"
"2","MKK1","65","4","10.00"
"2","ERK1","69","1","10.00"
"2","ERK2","62","0","10.00"
"2","JNK1","93","1","10.00"
"2","JNK2","56","4","10.00"
"2","JNK3","87","3","10.00"
"2","p38 alpha MAPK","17","4","10.00"
"2","p38 beta MAPK","24","2","10.00"
"2","p38 gamma MAPK","81","2","10.00"
"2","p38 delta MAPK","80","2","10.00"
"2","ERK8","58","4","10.00"
"2","RSK1","53","4","10.00"
"2","RSK2","71","1","10.00"
"2","PDK1","97","3","10.00"
"2","PKB alpha ","50","0","10.00"
"2","PKB beta ","89","1","10.00"
"2","SGK1","91","2","10.00"
"2","S6K1","61","7","10.00"
"2","PKA","56","2","10.00"
"2","ROCK 2","30","0","10.00"
"2","PRK2","89","2","10.00"
"2","PKC alpha ","39","8","10.00"
"2","PKC zeta ","83","1","10.00"
"2","PKD1","8","3","10.00"
"2","MSK1","46","6","10.00"
"2","MNK1","95","1","10.00"
"2","MNK2","85","7","10.00"
"2","MAPKAP-K2 ","97","3","10.00"
"2","MAPKAP-K3","87","5","10.00"
"2","PRAK","76","0","10.00"
"2","CAMKK alpha ","76","8","10.00"
"2","CAMKK beta ","72","6","10.00"
"2","CAMK1","63","2","10.00"
"2","SmMLCK","61","4","10.00"
"2","PHK","75","1","10.00"
"2","CHK1","95","2","10.00"
"2","CHK2","32","1","10.00"
"2","GSK3 beta ","77","0","10.00"
"2","CDK2-Cyclin A","55","1","10.00"
"2","PLK1","95","5","10.00"
"2","Aurora B","74","8","10.00"
"2","Aurora C","55","1","10.00"
"2","AMPK","73","2","10.00"
"2","MARK3","30","0","10.00"
"2","BRSK2","75","0","10.00"
"2","MELK","27","0","10.00"
"2","CK1 delta ","4","0","10.00"
"2","CK2","87","0","10.00"
"2","DYRK1A","77","8","10.00"
"2","DYRK2","96","7","10.00"
"2","DYRK3","65","1","10.00"
"2","NEK2a","95","4","10.00"
"2","NEK6","91","7","10.00"
"2","NEK7","106","0","10.00"
"2","IKK beta ","95","3","10.00"
"2","PIM1","91","4","10.00"
"2","PIM2","104","0","10.00"
"2","PIM3","83","4","10.00"
"2","SRPK1","89","7","10.00"
"2","MST2","10","3","10.00"
"2","EF2K","99","2","10.00"
"2","HIPK2","84","1","10.00"
"2","HIPK3","105","0","10.00"
"2","PAK4","35","0","10.00"
"2","PAK5","25","3","10.00"
"2","PAK6","57","6","10.00"
"2","Src","3","2","10.00"
"2","Lck","6","1","10.00"
"2","CSK","5","1","10.00"
"3","RSK2","97","1","1.00"
"3","PDK1","96","1","1.00"
"3","PKB alpha ","82","1","1.00"
"3","PKB beta ","97","4","1.00"
"3","SGK1","98","1","1.00"
"3","S6K1","91","7","1.00"
"3","PKA","32","2","1.00"
"3","ROCK 2","83","0","1.00"
"3","PRK2","109","5","1.00"
"3","PKC alpha ","81","1","1.00"
"3","PKC zeta ","82","1","1.00"
"3","PKD1","13","0","1.00"
"3","MSK1","78","1","1.00"
"3","MNK1","109","8","1.00"
"3","MNK2","114","1","1.00"
"3","MAPKAP-K2 ","98","3","1.00"
"3","MAPKAP-K3","96","1","1.00"
"3","PRAK","89","0","1.00"
"3","CAMKK alpha ","100","1","1.00"
"3","CAMKK beta ","102","6","1.00"
"3","CAMK1","83","6","1.00"
"3","SmMLCK","80","7","1.00"
"3","PHK","80","5","1.00"
"3","CHK1","96","7","1.00"
"3","CHK2","83","2","1.00"
"3","GSK3 beta ","90","3","1.00"
"3","CDK2-Cyclin A","85","4","1.00"
"3","PLK1","95","4","1.00"
"3","Aurora B","105","2","1.00"
"3","Aurora C","76","1","1.00"
"3","AMPK","86","2","1.00"
"3","MARK3","71","6","1.00"
"3","BRSK2","101","3","1.00"
"3","MELK","66","2","1.00"
"3","CK1 delta ","56","4","1.00"
"3","CK2","80","7","1.00"
"3","DYRK1A","92","8","1.00"
"3","DYRK2","94","2","1.00"
"3","DYRK3","80","4","1.00"
"3","NEK2a","101","6","1.00"
"3","NEK6","94","3","1.00"
"3","NEK7","110","2","1.00"
"3","IKK beta ","98","2","1.00"
"3","PIM1","103","3","1.00"
"3","PIM2","101","4","1.00"
"3","PIM3","99","2","1.00"
"3","SRPK1","99","3","1.00"
"3","MST2","45","2","1.00"
"3","EF2K","99","2","1.00"
"3","HIPK2","95","4","1.00"
"3","HIPK3","96","3","1.00"
"3","PAK4","71","6","1.00"
"3","PAK5","74","0","1.00"
"3","PAK6","88","0","1.00"
"3","Src","29","6","1.00"
"3","Lck","18","2","1.00"
"3","CSK","36","2","1.00"
"3","MKK1","76","6","10.00"
"3","ERK1","45","1","10.00"
"3","ERK2","32","7","10.00"
"3","JNK1","85","4","10.00"
"3","JNK2","63","4","10.00"
"3","JNK3","79","1","10.00"
"3","p38 alpha MAPK","8","1","10.00"
"3","p38 beta MAPK","15","5","10.00"
"3","p38 gamma MAPK","98","2","10.00"
"3","p38 delta MAPK","94","4","10.00"
"3","ERK8","48","0","10.00"
"3","RSK1","56","6","10.00"
"3","RSK2","68","2","10.00"
"3","PDK1","101","0","10.00"
"3","PKB alpha ","62","1","10.00"
"3","PKB beta ","91","4","10.00"
"3","SGK1","99","5","10.00"
"3","S6K1","82","6","10.00"
"3","PKA","7","1","10.00"
"3","ROCK 2","76","1","10.00"
"3","PRK2","97","2","10.00"
"3","PKC alpha ","79","2","10.00"
"3","PKC zeta ","84","4","10.00"
"3","PKD1","3","0","10.00"
"3","MSK1","69","2","10.00"
"3","MNK1","105","0","10.00"
"3","MNK2","98","5","10.00"
"3","MAPKAP-K2 ","114","7","10.00"
"3","MAPKAP-K3","93","1","10.00"
"3","PRAK","62","1","10.00"
"3","CAMKK alpha ","89","4","10.00"
"3","CAMKK beta ","76","2","10.00"
"3","CAMK1","46","1","10.00"
"3","SmMLCK","71","1","10.00"
"3","PHK","78","3","10.00"
"3","CHK1","105","0","10.00"
"3","CHK2","44","3","10.00"
"3","GSK3 beta ","92","3","10.00"
"3","CDK2-Cyclin A","42","5","10.00"
"3","PLK1","94","0","10.00"
"3","Aurora B","82","0","10.00"
"3","Aurora C","73","1","10.00"
"3","AMPK","96","2","10.00"
"3","MARK3","54","2","10.00"
"3","BRSK2","97","4","10.00"
"3","MELK","23","0","10.00"
"3","CK1 delta ","14","2","10.00"
"3","CK2","91","2","10.00"
"3","DYRK1A","66","2","10.00"
"3","DYRK2","112","5","10.00"
"3","DYRK3","58","4","10.00"
"3","NEK2a","91","5","10.00"
"3","NEK6","110","1","10.00"
"3","NEK7","109","8","10.00"
"3","IKK beta ","95","0","10.00"
"3","PIM1","94","0","10.00"
"3","PIM2","103","2","10.00"
"3","PIM3","87","3","10.00"
"3","SRPK1","93","0","10.00"
"3","MST2","9","0","10.00"
"3","EF2K","105","2","10.00"
"3","HIPK2","71","3","10.00"
"3","HIPK3","103","3","10.00"
"3","PAK4","50","8","10.00"
"3","PAK5","47","0","10.00"
"3","PAK6","65","5","10.00"
"3","Src","7","0","10.00"
"3","Lck","3","0","10.00"
"3","CSK","6","1","10.00"
"3","MKK1","112","2","1.00"
"3","ERK1","84","5","1.00"
"3","ERK2","64","3","1.00"
"3","JNK1","90","0","1.00"
"3","JNK2","78","1","1.00"
"3","JNK3","98","8","1.00"
"3","p38 alpha MAPK","41","2","1.00"
"3","p38 beta MAPK","53","4","1.00"
"3","p38 gamma MAPK","95","0","1.00"
"3","p38 delta MAPK","97","1","1.00"
"3","ERK8","76","0","1.00"
"3","RSK1","83","2","1.00"
"293","MKK1","56","5","100.00"
"293","MKK2","63","2","100.00"
"293","MKK6","91","6","100.00"
"293","ERK1","78","8","100.00"
"293","ERK2","78","0","100.00"
"293","ERK5","67","1","100.00"
"293","JNK1","81","6","100.00"
"293","JNK2","83","8","100.00"
"293","JNK3","83","6","100.00"
"293","p38 alpha MAPK","85","4","100.00"
"293","p38 beta MAPK","83","0","100.00"
"293","p38 gamma MAPK","75","0","100.00"
"293","p38 delta MAPK","97","6","100.00"
"293","ERK8","79","10","100.00"
"293","RSK1","81","2","100.00"
"293","RSK2","79","8","100.00"
"293","PDK1","67","1","100.00"
"293","PKB alpha ","99","5","100.00"
"293","PKB beta ","83","7","100.00"
"293","SGK1","63","1","100.00"
"293","S6K1","85","15","100.00"
"293","PKA","93","7","100.00"
"293","ROCK 2","64","2","100.00"
"293","PRK2","73","8","100.00"
"293","PKC alpha ","104","27","100.00"
"293","PKC gamma ","84","6","100.00"
"293","PKC zeta ","78","3","100.00"
"293","PKD1","65","7","100.00"
"293","STK33","67","6","100.00"
"293","MSK1","84","4","100.00"
"293","MNK1","67","7","100.00"
"293","MNK2","75","2","100.00"
"293","MAPKAP-K2 ","40","3","100.00"
"293","MAPKAP-K3","70","3","100.00"
"293","PRAK","75","0","100.00"
"293","CAMKK beta ","87","1","100.00"
"293","CAMK1","85","5","100.00"
"293","SmMLCK","75","2","100.00"
"293","PHK","76","2","100.00"
"293","DAPK1","77","7","100.00"
"293","CHK1","57","9","100.00"
"293","CHK2","21","0","100.00"
"293","GSK3 beta ","89","12","100.00"
"293","CDK2-Cyclin A","81","2","100.00"
"293","CDK9-Cyclin T1","72","9","100.00"
"293","PLK1","76","1","100.00"
"293","Aurora A","64","3","100.00"
"293","Aurora B","23","2","100.00"
"293","TLK1","108","7","100.00"
"293","LKB1","82","9","100.00"
"293","AMPK","73","6","100.00"
"293","AMPK (hum)","80","11","100.00"
"293","MARK1","67","0","100.00"
"293","MARK2","69","2","100.00"
"293","MARK3","61","5","100.00"
"293","MARK4","74","5","100.00"
"293","BRSK1","79","8","100.00"
"293","BRSK2","81","3","100.00"
"293","MELK","63","2","100.00"
"293","NUAK1","33","0","100.00"
"293","SIK2","43","2","100.00"
"293","SIK3","56","2","100.00"
"293","TSSK1","44","8","100.00"
"293","CK1 gamma 2","16","1","100.00"
"293","CK1 delta ","24","4","100.00"
"293","CK2","89","5","100.00"
"293","TTBK1","80","12","100.00"
"293","TTBK2","74","6","100.00"
"293","DYRK1A","64","3","100.00"
"293","DYRK2","68","6","100.00"
"293","DYRK3","72","5","100.00"
"293","NEK2a","60","14","100.00"
"293","NEK6","88","10","100.00"
"293","IKK beta ","55","4","100.00"
"293","IKK epsilon ","62","5","100.00"
"293","TBK1","73","4","100.00"
"293","PIM1","122","0","100.00"
"293","PIM2","102","7","100.00"
"293","PIM3","76","4","100.00"
"293","SRPK1","96","1","100.00"
"293","EF2K","88","3","100.00"
"293","EIF2AK3","89","0","100.00"
"293","HIPK1","104","15","100.00"
"293","HIPK2","76","2","100.00"
"293","HIPK3","92","2","100.00"
"293","CLK2","37","4","100.00"
"293","PAK2","100","10","100.00"
"293","PAK4","44","5","100.00"
"293","PAK5","64","0","100.00"
"293","PAK6","82","5","100.00"
"293","MST2","63","1","100.00"
"293","MST3","81","2","100.00"
"293","MST4","72","3","100.00"
"293","GCK","20","0","100.00"
"293","MAP4K3","50","6","100.00"
"293","MAP4K5","67","3","100.00"
"293","MINK1","63","3","100.00"
"293","MEKK1","78","0","100.00"
"293","MLK1","29","6","100.00"
"293","MLK3","18","5","100.00"
"293","TESK1","60","4","100.00"
"293","TAO1","66","3","100.00"
"293","ASK1","44","3","100.00"
"293","TAK1","54","2","100.00"
"293","IRAK1","65","10","100.00"
"293","IRAK4","76","7","100.00"
"293","RIPK2","43","1","100.00"
"293","OSR1","80","7","100.00"
"293","TTK","82","1","100.00"
"293","MPSK1","89","4","100.00"
"293","WNK1","87","2","100.00"
"293","ULK1","57","2","100.00"
"293","ULK2","69","0","100.00"
"293","TGFBR1","101","2","100.00"
"293","Src","73","1","100.00"
"293","Lck","79","3","100.00"
"293","CSK","91","17","100.00"
"293","YES1","94","6","100.00"
"293","ABL","83","7","100.00"
"293","BTK","67","3","100.00"
"293","JAK2","30","0","100.00"
"293","SYK","102","8","100.00"
"293","ZAP70","101","4","100.00"
"293","TIE2","85","1","100.00"
"293","BRK","47","5","100.00"
"293","EPH-A2","83","1","100.00"
"293","EPH-A4","84","4","100.00"
"293","EPH-B1","108","7","100.00"
"293","EPH-B2","95","10","100.00"
"293","EPH-B3","105","36","100.00"
"293","EPH-B4","90","10","100.00"
"293","FGF-R1","109","18","100.00"
"293","HER4","72","0","100.00"
"293","IGF-1R","75","23","100.00"
"293","IR","106","8","100.00"
"293","IRR","73","5","100.00"
"293","TrkA","73","13","100.00"
"293","DDR2","82","11","100.00"
"293","VEGFR1","29","3","100.00"
"293","PDGFRA","79","3","100.00"
"293","PINK","90","11","100.00"
"5","MKK1","84","2","0.01"
"5","ERK1","77","8","0.01"
"5","ERK2","78","6","0.01"
"5","JNK1","89","7","0.01"
"5","JNK2","94","1","0.01"
"5","JNK3","81","9","0.01"
"5","p38 alpha MAPK","131","2","0.01"
"5","p38 beta MAPK","114","3","0.01"
"5","p38 gamma MAPK","87","5","0.01"
"5","p38 delta MAPK","86","1","0.01"
"5","ERK8","61","2","0.01"
"5","RSK1","78","1","0.01"
"5","RSK2","74","3","0.01"
"5","PDK1","88","1","0.01"
"5","PKB alpha ","5","2","0.01"
"5","PKB beta ","17","2","0.01"
"5","SGK1","78","2","0.01"
"5","S6K1","88","3","0.01"
"5","PKA","26","1","0.01"
"5","ROCK 2","48","3","0.01"
"5","PRK2","17","2","0.01"
"5","PKC alpha ","73","3","0.01"
"5","PKC zeta ","82","3","0.01"
"5","PKD1","63","3","0.01"
"5","MSK1","19","2","0.01"
"5","MNK1","120","3","0.01"
"5","MNK2","97","2","0.01"
"5","MAPKAP-K2 ","92","8","0.01"
"5","MAPKAP-K3","91","9","0.01"
"5","PRAK","107","3","0.01"
"5","CAMKK alpha ","112","2","0.01"
"5","CAMKK beta ","83","8","0.01"
"5","CAMK1","89","3","0.01"
"5","SmMLCK","69","2","0.01"
"5","PHK","86","7","0.01"
"5","CHK1","100","3","0.01"
"5","CHK2","94","8","0.01"
"5","GSK3 beta ","81","1","0.01"
"5","CDK2-Cyclin A","82","5","0.01"
"5","PLK1","89","5","0.01"
"5","Aurora B","81","3","0.01"
"5","Aurora C","100","4","0.01"
"5","AMPK","84","8","0.01"
"5","MARK3","100","3","0.01"
"5","BRSK2","88","9","0.01"
"5","MELK","96","2","0.01"
"5","CK1 delta ","95","3","0.01"
"5","CK2","96","0","0.01"
"5","DYRK1A","10","2","0.01"
"5","DYRK2","79","5","0.01"
"5","DYRK3","41","3","0.01"
"5","NEK2a","101","5","0.01"
"5","NEK6","95","2","0.01"
"5","NEK7","86","8","0.01"
"5","IKK beta ","93","8","0.01"
"5","PIM1","57","8","0.01"
"5","PIM2","59","0","0.01"
"5","PIM3","54","6","0.01"
"5","SRPK1","92","8","0.01"
"5","MST2","76","4","0.01"
"5","EF2K","93","7","0.01"
"5","HIPK2","73","2","0.01"
"5","HIPK3","90","0","0.01"
"5","PAK4","99","3","0.01"
"5","PAK5","104","2","0.01"
"5","PAK6","87","2","0.01"
"5","Src","91","0","0.01"
"5","Lck","97","8","0.01"
"5","CSK","99","2","0.01"
"5","MKK1","67","6","0.10"
"5","ERK1","59","3","0.10"
"5","ERK2","64","2","0.10"
"5","JNK1","90","3","0.10"
"5","JNK2","78","9","0.10"
"5","JNK3","86","8","0.10"
"5","p38 alpha MAPK","92","6","0.10"
"5","p38 beta MAPK","105","4","0.10"
"5","p38 gamma MAPK","83","4","0.10"
"5","p38 delta MAPK","68","9","0.10"
"5","ERK8","28","3","0.10"
"5","RSK1","32","1","0.10"
"5","RSK2","27","3","0.10"
"5","PDK1","79","8","0.10"
"5","PKB alpha ","3","2","0.10"
"5","PKB beta ","2","0","0.10"
"5","SGK1","53","5","0.10"
"5","S6K1","32","9","0.10"
"5","PKA","3","1","0.10"
"5","ROCK 2","8","1","0.10"
"5","PRK2","2","2","0.10"
"5","PKC alpha ","29","4","0.10"
"5","PKC zeta ","66","0","0.10"
"5","PKD1","23","4","0.10"
"5","MSK1","9","2","0.10"
"5","MNK1","109","2","0.10"
"5","MNK2","80","5","0.10"
"5","MAPKAP-K2 ","73","0","0.10"
"5","MAPKAP-K3","96","2","0.10"
"5","PRAK","107","4","0.10"
"5","CAMKK alpha ","117","1","0.10"
"5","CAMKK beta ","63","9","0.10"
"5","CAMK1","77","6","0.10"
"5","SmMLCK","27","2","0.10"
"5","PHK","54","6","0.10"
"5","CHK1","99","2","0.10"
"5","CHK2","95","2","0.10"
"5","GSK3 beta ","33","4","0.10"
"5","CDK2-Cyclin A","31","2","0.10"
"5","PLK1","80","1","0.10"
"5","Aurora B","80","2","0.10"
"5","Aurora C","92","8","0.10"
"5","AMPK","67","3","0.10"
"5","MARK3","83","1","0.10"
"5","BRSK2","79","1","0.10"
"5","MELK","63","2","0.10"
"5","CK1 delta ","74","3","0.10"
"5","CK2","90","8","0.10"
"5","DYRK1A","7","3","0.10"
"5","DYRK2","26","1","0.10"
"5","DYRK3","8","1","0.10"
"5","NEK2a","95","2","0.10"
"5","NEK6","95","4","0.10"
"5","NEK7","84","1","0.10"
